1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39
3710.0;3569.0;3587.0;4275.0;4430.0;2839.0;2319.0;6127.0;2327.0;3192.0;2864.0;3423.0;3288.0;4954.0;4144.0;2709.0;2360.0;2957.0;3826.0;3205.0;3527.0;2245.0;2597.0;3430.0;2773.0;2428.0;5018.0;3947.0;2975.0;2977.0;3764.0;4393.0;2343.0;3508.0;4110.0;2523.0;2975.0;4769.0;3391.0
3832.0;3595.0;3724.0;4426.0;4604.0;2968.0;2365.0;6173.0;2367.0;3251.0;3019.0;3530.0;3336.0;5310.0;4252.0;2765.0;2391.0;2979.0;3856.0;3243.0;3602.0;2271.0;2712.0;3454.0;2825.0;2484.0;5141.0;4089.0;3074.0;3016.0;3874.0;4430.0;2518.0;3567.0;4138.0;2607.0;3031.0;4890.0;3426.0
3894.0;3714.0;3839.0;4770.0;4774.0;3010.0;2421.0;6291.0;2413.0;3373.0;3122.0;3563.0;3413.0;5452.0;4279.0;2855.0;2487.0;3020.0;3964.0;3530.0;3712.0;2324.0;2737.0;3538.0;2975.0;2505.0;5272.0;4286.0;3135.0;3074.0;3964.0;4508.0;2608.0;3681.0;4222.0;2714.0;3078.0;5220.0;3571.0
3988.0;3855.0;3860.0;4865.0;4901.0;3033.0;2473.0;6426.0;2476.0;3465.0;3247.0;3598.0;3450.0;5575.0;4436.0;3024.0;2553.0;3140.0;4024.0;3669.0;3830.0;2348.0;2842.0;3622.0;3014.0;2536.0;5526.0;4333.0;3208.0;3114.0;4034.0;4634.0;2727.0;3760.0;4356.0;2832.0;3335.0;5362.0;3615.0
4093.0;4005.0;3902.0;5048.0;5061.0;3133.0;2497.0;6450.0;2505.0;3538.0;3316.0;3706.0;3471.0;5700.0;4611.0;3248.0;2753.0;3212.0;4137.0;3716.0;3893.0;2380.0;2979.0;3698.0;3079.0;2601.0;5576.0;4386.0;3290.0;3213.0;4089.0;4711.0;2822.0;3839.0;4434.0;2921.0;3418.0;5535.0;3721.0
4230.0;4124.0;4132.0;5149.0;5222.0;3292.0;2529.0;6708.0;2560.0;3568.0;3341.0;3800.0;3515.0;5908.0;4716.0;3279.0;2855.0;3244.0;4160.0;3809.0;3939.0;2526.0;3205.0;4147.0;3168.0;2651.0;5642.0;4567.0;3397.0;3285.0;4282.0;4769.0;2844.0;3959.0;4537.0;2975.0;3567.0;5636.0;3842.0
4268.0;4269.0;4353.0;5186.0;5370.0;3411.0;2644.0;6884.0;2608.0;3622.0;3395.0;3924.0;3615.0;6034.0;4901.0;3443.0;2972.0;3283.0;4253.0;3930.0;4040.0;2630.0;3265.0;4244.0;3208.0;2731.0;5663.0;4712.0;3466.0;3312.0;4413.0;4958.0;2937.0;4088.0;4569.0;3016.0;3626.0;5739.0;3890.0
4388.0;4414.0;4420.0;5903.0;5528.0;3432.0;2977.0;7040.0;2723.0;3717.0;3428.0;4044.0;3703.0;6148.0;5022.0;3524.0;3014.0;3393.0;4855.0;4075.0;4138.0;2840.0;3290.0;4279.0;3231.0;2770.0;5739.0;4768.0;3585.0;3409.0;4513.0;5018.0;2987.0;4278.0;4610.0;3099.0;3677.0;5902.0;3932.0
4751.0;4588.0;4467.0;5987.0;5643.0;3729.0;3076.0;7165.0;2755.0;3811.0;3448.0;4120.0;3790.0;6255.0;5051.0;3562.0;3074.0;3442.0;5046.0;4248.0;4249.0;2860.0;3394.0;4348.0;3394.0;2870.0;5761.0;4954.0;3685.0;3467.0;4713.0;5220.0;3095.0;4712.0;4716.0;3196.0;3698.0;6022.0;3996.0
5329.0;4770.0;4593.0;6136.0;5906.0;3887.0;3131.0;7189.0;2879.0;3842.0;3472.0;4258.0;3913.0;6275.0;5229.0;3589.0;3285.0;3470.0;5176.0;4328.0;4367.0;3028.0;3468.0;4416.0;3421.0;2976.0;5980.0;5009.0;3886.0;3510.0;4855.0;5316.0;3212.0;4843.0;4788.0;3216.0;3785.0;6162.0;4128.0
