1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37
5560.0;4213.0;4795.0;5340.0;4214.0;4588.0;2913.0;3599.0;2786.0;2313.0;3177.0;2679.0;3168.0;3499.0;4119.0;2853.0;2818.0;3540.0;2973.0;5185.0;3531.0;2595.0;3384.0;3444.0;3150.0;2581.0;3171.0;3475.0;3489.0;3444.0;3255.0;5127.0;3289.0;3297.0;3028.0;4208.0;2648.0
5690.0;4330.0;4923.0;5563.0;4297.0;4708.0;2992.0;3624.0;2954.0;2354.0;3201.0;2719.0;3426.0;3535.0;4173.0;2945.0;2864.0;3657.0;3024.0;5402.0;3602.0;2641.0;3480.0;3485.0;3172.0;2624.0;3390.0;3612.0;3511.0;3628.0;3299.0;5293.0;3332.0;3440.0;3339.0;4350.0;2674.0
6153.0;4430.0;4990.0;5695.0;4345.0;5007.0;3074.0;3695.0;3057.0;2462.0;3290.0;2751.0;3513.0;3566.0;4347.0;2978.0;2955.0;3698.0;3078.0;5657.0;3745.0;2865.0;3553.0;3513.0;3294.0;2648.0;3476.0;3645.0;3620.0;3700.0;3349.0;5387.0;3395.0;3498.0;3432.0;4460.0;2735.0
6257.0;4549.0;5132.0;5826.0;4521.0;5150.0;3177.0;3837.0;3287.0;2507.0;3393.0;2860.0;3737.0;3652.0;4402.0;3081.0;3125.0;3735.0;3175.0;5785.0;3860.0;2920.0;3618.0;3537.0;3388.0;2730.0;3497.0;3670.0;3645.0;3838.0;3399.0;5480.0;3489.0;3716.0;3459.0;4581.0;2799.0
6378.0;4575.0;5424.0;5957.0;4606.0;5234.0;3203.0;3857.0;3318.0;2558.0;3497.0;2978.0;4096.0;3721.0;4426.0;3166.0;3154.0;3868.0;3210.0;5998.0;4115.0;2959.0;3653.0;3670.0;3494.0;2823.0;3569.0;3703.0;3699.0;3945.0;3430.0;5590.0;3539.0;3749.0;3540.0;4701.0;2876.0
6700.0;4695.0;5553.0;6004.0;4684.0;5354.0;3307.0;3928.0;3385.0;2717.0;3520.0;3005.0;4201.0;3850.0;4537.0;3216.0;3191.0;3948.0;3235.0;6239.0;4300.0;3278.0;3694.0;3710.0;3621.0;2861.0;3634.0;3845.0;3827.0;4106.0;3493.0;5839.0;3577.0;3846.0;3568.0;4864.0;2898.0
6810.0;4964.0;5683.0;6114.0;4871.0;5420.0;3341.0;3963.0;3525.0;2868.0;3545.0;3148.0;4289.0;3873.0;4836.0;3291.0;3286.0;4109.0;3305.0;6472.0;4330.0;3339.0;3833.0;3751.0;3686.0;2973.0;3711.0;3869.0;3903.0;4254.0;3563.0;5936.0;3689.0;3917.0;3615.0;5002.0;3150.0
6961.0;5126.0;5823.0;6174.0;4959.0;5834.0;3454.0;4113.0;3681.0;2966.0;3577.0;3196.0;4435.0;4089.0;5101.0;3316.0;3318.0;4189.0;3343.0;6789.0;4407.0;3443.0;3877.0;3851.0;3707.0;3125.0;3834.0;3941.0;3937.0;4382.0;3693.0;6025.0;3838.0;3955.0;3703.0;5142.0;3326.0
7076.0;5258.0;5843.0;6252.0;5274.0;5860.0;3481.0;4384.0;3881.0;2993.0;3872.0;3280.0;4463.0;4194.0;5247.0;3347.0;3425.0;4211.0;3434.0;7139.0;4437.0;3488.0;3940.0;3957.0;3947.0;3146.0;3941.0;4033.0;4152.0;4403.0;3715.0;6363.0;4038.0;4037.0;3741.0;5246.0;3383.0
7595.0;5378.0;6002.0;6402.0;5346.0;5990.0;3518.0;4485.0;3950.0;3072.0;3957.0;3323.0;4566.0;4321.0;5352.0;3384.0;3519.0;4309.0;3477.0;7176.0;4478.0;3528.0;4037.0;4081.0;4039.0;3225.0;4037.0;4056.0;4265.0;4471.0;3842.0;6488.0;4088.0;4189.0;3838.0;5278.0;3447.0
7719.0;5530.0;6108.0;6695.0;5413.0;6125.0;3671.0;4585.0;4176.0;3152.0;4085.0;3461.0;4596.0;4422.0;5547.0;3477.0;3659.0;4335.0;3515.0;7586.0;4533.0;3599.0;4063.0;4168.0;4178.0;3289.0;4067.0;4076.0;4378.0;4573.0;3951.0;6601.0;4183.0;4307.0;3921.0;5419.0;3492.0
8180.0;5559.0;6410.0;6832.0;5460.0;6428.0;3701.0;4667.0;4301.0;3286.0;4170.0;3493.0;4716.0;4507.0;5592.0;3625.0;3733.0;4435.0;3616.0;7782.0;4690.0;3637.0;4123.0;4572.0;4304.0;3337.0;4152.0;4096.0;4540.0;4787.0;4045.0;6783.0;4386.0;4407.0;4060.0;5571.0;3535.0
8401.0;5663.0;6574.0;6967.0;5573.0;6543.0;3726.0;4833.0;4408.0;3319.0;4194.0;3540.0;4809.0;4581.0;5827.0;3707.0;3823.0;4527.0;3704.0;7905.0;4923.0;3669.0;4179.0;4707.0;4404.0;3435.0;4307.0;4160.0;4645.0;5123.0;4382.0;6971.0;4564.0;4464.0;4167.0;5696.0;3621.0
8447.0;5689.0;6930.0;7095.0;5703.0;6580.0;3966.0;4868.0;4444.0;3448.0;4215.0;3572.0;4949.0;4702.0;5963.0;3740.0;3869.0;4670.0;3734.0;8159.0;5003.0;3744.0;4316.0;4966.0;4483.0;3625.0;4399.0;4183.0;4711.0;5182.0;4403.0;7092.0;4918.0;4554.0;4285.0;5858.0;3691.0
8696.0;5818.0;7292.0;7389.0;6003.0;7309.0;4102.0;5004.0;4475.0;3533.0;4285.0;3605.0;5156.0;4807.0;6197.0;3835.0;3911.0;4722.0;3866.0;8308.0;5244.0;3830.0;4427.0;5122.0;4556.0;3659.0;4482.0;4246.0;4736.0;5224.0;4569.0;7217.0;5065.0;4802.0;4411.0;5994.0;3842.0
8933.0;5980.0;7561.0;7431.0;6045.0;7441.0;4216.0;5100.0;4656.0;3743.0;4358.0;3671.0;5190.0;4934.0;6295.0;3864.0;3952.0;4838.0;4085.0;8427.0;5322.0;3953.0;4668.0;5220.0;4684.0;3689.0;4564.0;4300.0;4787.0;5302.0;4812.0;7761.0;5190.0;4927.0;4448.0;6120.0;3882.0
9184.0;6083.0;7705.0;7617.0;6253.0;7577.0;4355.0;5183.0;4680.0;3829.0;4437.0;4064.0;5221.0;5092.0;6407.0;3941.0;3975.0;4946.0;4110.0;8662.0;5359.0;4056.0;4814.0;5242.0;4795.0;3749.0;4645.0;4399.0;5220.0;5395.0;4847.0;7965.0;5315.0;5323.0;4569.0;6251.0;3958.0
9431.0;6520.0;7804.0;7952.0;6294.0;7721.0;4415.0;5245.0;4782.0;3874.0;4496.0;4118.0;5312.0;5212.0;6627.0;3971.0;4107.0;5071.0;4311.0;8684.0;5460.0;4152.0;4946.0;5319.0;4923.0;3823.0;4688.0;4474.0;5289.0;5463.0;5233.0;8219.0;5673.0;5386.0;4795.0;6423.0;3984.0
9635.0;6678.0;7860.0;8315.0;6390.0;7821.0;4476.0;5280.0;4846.0;3911.0;4596.0;4154.0;5409.0;5232.0;6745.0;4056.0;4162.0;5104.0;4429.0;8907.0;5562.0;4181.0;5060.0;5362.0;5194.0;3939.0;4781.0;4564.0;5315.0;5531.0;5395.0;8268.0;6014.0;5408.0;4949.0;6572.0;4064.0
9743.0;6838.0;7985.0;8408.0;6696.0;7878.0;4558.0;5397.0;4955.0;3955.0;4686.0;4293.0;5566.0;5344.0;6851.0;4115.0;4271.0;5242.0;4552.0;9018.0;5585.0;4297.0;5192.0;5539.0;5298.0;3962.0;4926.0;4587.0;5383.0;5586.0;5531.0;8360.0;6249.0;5681.0;5046.0;6697.0;4168.0
9782.0;7285.0;8257.0;8469.0;6738.0;7977.0;4651.0;5417.0;5066.0;3985.0;4821.0;4325.0;5670.0;5440.0;6971.0;4170.0;4334.0;5264.0;4576.0;9043.0;5712.0;4444.0;5225.0;5681.0;5319.0;4026.0;5067.0;4669.0;5403.0;5677.0;5677.0;8471.0;6410.0;5811.0;5095.0;6863.0;4299.0
10011.0;7553.0;8402.0;8680.0;6847.0;8003.0;4677.0;5538.0;5407.0;4105.0;4883.0;4345.0;5790.0;5561.0;7100.0;4286.0;4413.0;5346.0;4672.0;9184.0;5804.0;4566.0;5305.0;5764.0;5520.0;4071.0;5087.0;4773.0;5555.0;5835.0;5728.0;8528.0;6806.0;5932.0;5220.0;6990.0;4447.0
10113.0;7697.0;8570.0;8703.0;6967.0;8138.0;4788.0;5658.0;5535.0;4193.0;5010.0;4400.0;5865.0;5667.0;7241.0;4328.0;4445.0;5446.0;4697.0;9293.0;5895.0;4590.0;5364.0;5849.0;5544.0;4111.0;5306.0;4884.0;5586.0;5927.0;5860.0;8605.0;6922.0;6026.0;5301.0;7145.0;4478.0
10133.0;7799.0;8815.0;8805.0;6991.0;8274.0;4814.0;5797.0;5575.0;4217.0;5084.0;4433.0;6004.0;5703.0;7391.0;4382.0;4603.0;5554.0;4791.0;9411.0;5946.0;4673.0;5516.0;5932.0;5674.0;4167.0;5423.0;5072.0;5640.0;5962.0;5954.0;8806.0;7058.0;6157.0;5407.0;7302.0;4503.0
10210.0;7853.0;8956.0;9186.0;7100.0;8419.0;4839.0;5844.0;5652.0;4331.0;5188.0;4586.0;6125.0;5812.0;7515.0;4434.0;4833.0;5575.0;4913.0;9433.0;6057.0;5087.0;5537.0;6004.0;5794.0;4341.0;5527.0;5186.0;5756.0;6018.0;6018.0;9031.0;7117.0;6265.0;5484.0;7439.0;4554.0
;8098.0;9043.0;9452.0;7224.0;8587.0;4872.0;5916.0;5678.0;4431.0;5233.0;4647.0;6186.0;5931.0;7637.0;4486.0;4854.0;5708.0;5058.0;9509.0;6175.0;5122.0;5591.0;6062.0;5821.0;4401.0;5558.0;5314.0;5851.0;6139.0;6383.0;9141.0;7315.0;6368.0;5658.0;7570.0;4613.0
;8249.0;9179.0;9562.0;7388.0;8658.0;5007.0;5948.0;5913.0;4485.0;5276.0;4691.0;6269.0;5951.0;7844.0;4596.0;5105.0;5803.0;5188.0;9830.0;6258.0;5158.0;5712.0;6194.0;5866.0;4445.0;5678.0;5480.0;5942.0;6240.0;6414.0;9332.0;7346.0;6494.0;5814.0;7718.0;4737.0
;8395.0;9318.0;9658.0;7500.0;8831.0;5194.0;5968.0;5987.0;4522.0;5435.0;4811.0;6289.0;6024.0;8078.0;4669.0;5179.0;5833.0;5251.0;10076.0;6401.0;5194.0;5807.0;6301.0;5925.0;4585.0;5799.0;5527.0;6240.0;6358.0;6492.0;9411.0;7469.0;6814.0;5859.0;7870.0;4828.0
;8564.0;9547.0;9807.0;7577.0;8974.0;5242.0;6057.0;6134.0;4558.0;5519.0;4878.0;6392.0;6044.0;8316.0;4777.0;5447.0;6079.0;5301.0;10174.0;6613.0;5338.0;5847.0;6398.0;6010.0;4615.0;5929.0;5595.0;6516.0;6385.0;6601.0;9534.0;7491.0;6933.0;6000.0;7996.0;4969.0
;8672.0;9567.0;9873.0;7623.0;9061.0;5284.0;6123.0;6244.0;4608.0;5541.0;4953.0;6513.0;6171.0;8356.0;4800.0;5531.0;6106.0;5344.0;;6701.0;5416.0;6068.0;6537.0;6153.0;4661.0;6014.0;5673.0;6606.0;6496.0;6810.0;9615.0;7588.0;6973.0;6135.0;8136.0;5062.0
;8807.0;9800.0;10159.0;7741.0;9196.0;5403.0;6238.0;6351.0;4729.0;5696.0;5089.0;6571.0;6275.0;8705.0;4892.0;5686.0;6289.0;5384.0;;6930.0;5541.0;6145.0;6578.0;6242.0;4684.0;6154.0;5759.0;6684.0;6537.0;6832.0;9649.0;7697.0;7354.0;6244.0;8266.0;5112.0
;8949.0;9852.0;10232.0;7952.0;9277.0;5543.0;6521.0;6372.0;4816.0;5964.0;5109.0;6606.0;6394.0;8856.0;5062.0;5813.0;6409.0;5405.0;;6950.0;5640.0;6346.0;6627.0;6264.0;4736.0;6365.0;5799.0;6779.0;6597.0;7108.0;9726.0;7779.0;7394.0;6268.0;8412.0;5145.0
;9048.0;9888.0;;8077.0;9335.0;5567.0;6576.0;6406.0;4860.0;5998.0;5133.0;6704.0;6505.0;9057.0;5290.0;5881.0;6524.0;5555.0;;7089.0;5727.0;6405.0;6745.0;6360.0;4833.0;6480.0;5839.0;6805.0;6684.0;7141.0;9819.0;7875.0;7478.0;6372.0;8594.0;5189.0
;9171.0;10152.0;;8219.0;9549.0;5672.0;6922.0;6429.0;4957.0;6073.0;5359.0;6803.0;6598.0;9080.0;5395.0;6075.0;6565.0;5796.0;;7267.0;5855.0;6479.0;6851.0;6497.0;5063.0;6565.0;6014.0;6929.0;6779.0;7225.0;10010.0;7910.0;7600.0;6489.0;8706.0;5239.0
