MU_1;MU_2;MU_3;MU_4;MU_5;MU_6
0.0009558143707173988;0.0010434526761272855;-0.0006985499060011806;0.0010893863916735028;0.005489981418399512;-0.00394585221007784
0.001067943060634882;0.0007201869109211914;-0.0006112842512216219;0.0007705349775883683;0.00798871338825248;-0.004172576420698468
0.0011062722635576832;0.00029843024026498285;-0.00047734925274559085;-0.00017253586932375537;0.010301265283969352;-0.0031728372931936295
0.0010505672948351026;-0.00018691240599913128;-0.0002868811765100213;-0.0014169718337178345;0.011716078209940509;-0.0009594012749256756
0.000903703903816537;-0.0006834498843589376;-5.014330488696118e-05;-0.002446586759703126;0.011505183401310865;0.00212941996546736
0.0006942749999043678;-0.0011427222663745835;0.0001774135925442922;-0.0027845915943200956;0.009286588938357744;0.005487463168538604
0.0004757995436395592;-0.0015355137397445727;0.0003098068839443292;-0.002158042808161486;0.005318093942455265;0.008341123905488985
0.0003199129368411165;-0.0018504440364738148;0.00028713305383857153;-0.0004985840787711406;0.0004779357455595966;0.00991993834142445
0.0002984342697972557;-0.002087026401899498;0.00011694108551360448;0.002136249623420455;-0.004074990346422665;0.009694367373250192
0.00045618474931559297;-0.002259976707372798;-0.0001410686716121155;0.005565903337699315;-0.00733645827609924;0.007588020915057666
0.0007886480012922302;-0.002411304927693971;-0.0004107896011425801;0.009390143552789;-0.008750060536683396;0.004030673139196806
0.0012421214921420343;-0.002608559831325714;-0.000596917653999046;0.01295486715687309;-0.008276747242699485;-0.00019221670934478085
0.001740857319753202;-0.002916500852169167;-0.0005554423239815462;0.015545584092572588;-0.006305762933622939;-0.004194336756715708
0.0022235265929978552;-0.0033559598922856394;-0.00011195103770956614;0.01673656465907877;-0.0035041113894162114;-0.007205059553930767
0.0026606487513423397;-0.0038796587078464046;0.0008382687422862432;0.016600333230029702;-0.0006548984097554215;-0.008686132264861875
0.0030414132953285006;-0.004384582707253938;0.00221967109058371;0.015581475201367408;0.001503720346632758;-0.008381698196015518
0.0033494837572507524;-0.004752667840802359;0.0037674646921953677;0.014171568010537568;0.002435034254129448;-0.0063578969237643316
0.0035570412220406263;-0.004889659219628649;0.005140457376902947;0.012674224573154858;0.0019501621681793585;-0.003039135458861785
0.003642401598085594;-0.004737531613516617;0.0060507738203029555;0.01117701146199256;0.00031347733703822783;0.0008279211628536769
0.0036096792075963565;-0.004267321523263231;0.006307612892438979;0.009638201201911245;-0.0017803608642238888;0.00437742865369816
0.0034896854993706292;-0.003481605885237213;0.005795713195910184;0.007980055489623841;-0.0034522745437458686;0.006986859943225375
0.003322777561204634;-0.002435791789953264;0.004479607026170661;0.006158605940346822;-0.004073676049929921;0.008594431295084411
0.0031405758568320095;-0.001248165656344093;0.0024575408106722574;0.004201830543986897;-0.0036674181007598076;0.009688730008647362
0.002961039037612784;-6.824288425229201e-05;-4.49474036228584e-06;0.002194339806104764;-0.0029973317639853158;0.010907421576650471
0.0027953757923862405;0.000982644481994016;-0.0025240784617038057;0.00021526637021280205;-0.003227958026660965;0.012523397093186488
0.002650438152306432;0.0018522595397878938;-0.004718691636035638;-0.001706376955615887;-0.005288990979637902;0.014179696610160147
0.0025124260687126184;0.0025505898825995887;-0.006305819626605022;-0.0035524444449974795;-0.009272272773689185;0.015005155357438016
0.0023192699455503326;0.003108322125240283;-0.007138708108151513;-0.005217393295216531;-0.014228884242795312;0.014006532719035111
0.0019487979848398763;0.003539043062131585;-0.007205978738463103;-0.0064719958167605346;-0.01853950307458399;0.01054815796548692
0.0012429973886394243;0.003834003931793772;-0.0066325917089111045;-0.007076408400438921;-0.020642866413521692;0.004702897186785493
5.9526153831300006e-05;0.003985554097517087;-0.005659529486519801;-0.006973407158889106;-0.019641529716751396;-0.002707656798333068
-0.0016802753688775782;0.0040085238327936985;-0.004565237559146408;-0.006386230215166475;-0.015475181480800721;-0.010387604532007443
-0.0039714531186291185;0.003935112825461578;-0.0035596526134865016;-0.005719652199036481;-0.008778600566139346;-0.016964365439644483
-0.006730005389260481;0.003794099292690988;-0.0027261164813979014;-0.005340888807234619;-0.0007091792355282849;-0.02131045541599837
-0.009797290024321588;0.003605882420221384;-0.0020404973920926054;-0.0054064980330350175;0.007193511022559564;-0.02273244522300477
-0.012934983625628184;0.003399027960679901;-0.0014283645158779635;-0.005821895824717534;0.013270332394827103;-0.021065541877585903
-0.015836967839575385;0.0032180258820378935;-0.0008079697528096424;-0.0062959864260338705;0.016193404517953532;-0.016692675556605373
-0.018182342603984897;0.0031046460369396627;-9.983374337243249e-05;-0.006443028708552919;0.015432887484948013;-0.010465148087128933
-0.01970635311051908;0.0030778788539390133;0.000779694395741114;-0.005947624476489743;0.01146753299073521;-0.0035220819407880814
-0.020245357044029647;0.0031392842979761837;0.0019064980251957998;-0.004776654568114173;0.005586924717376839;0.002936780880319165
-0.01974910500769532;0.0032910076926578836;0.003301236227956861;-0.003295273067448683;-0.0006232888936790414;0.00785920912740427
-0.018281641586453866;0.0035401462797681115;0.004876096037691772;-0.0021324593183737603;-0.005812726420032029;0.010516920048092576
-0.01601014523058768;0.0038904140207242604;0.006431712293245106;-0.0018351618844297559;-0.009114519541778617;0.010667249401693921
-0.01316451152707167;0.004337450622180947;0.007720004103404767;-0.0025508671519087517;-0.010078877971426339;0.008657942330086295
-0.00997963969279136;0.004868259476323917;0.008522512054155317;-0.003958420750591605;-0.008570508738650244;0.0053645649157642574
