MU_1;MU_2;MU_3;MU_4;MU_5;MU_6;MU_7;MU_8;MU_9
-0.00010234771888595508;0.0009453113776836722;-0.0003118383950884801;-0.0009718819370748429;0.0003375484500573471;0.0012139846516103785;0.0011304239032733938;0.0005341017928893644;0.0007258909822495166
-0.00010842683890782833;0.001014521867979202;-0.00030142895382814886;-0.0010471561585591058;0.00032733661472738766;0.00128517266392317;0.0012127387740409519;0.0005780566936362392;0.0007538629804491291
-0.00011682447703922581;0.0010716367050773643;-0.00028269957911249697;-0.0011120518335342691;0.00031446947984802405;0.0013477334237655093;0.0012876315575629292;0.0006191874025181886;0.0007753414979031443
-0.00012785158295054909;0.0011154834707135096;-0.00025585289384255465;-0.0011664665051931145;0.0002995307846560383;0.0014017680770517051;0.0013546229835008378;0.0006573994635935707;0.000790620991258188
-0.00014180011012304282;0.0011450418346074876;-0.0002212678930863396;-0.0012104150470472516;0.0002831376002548656;0.001447399350389527;0.0014132848441819684;0.0006926075998418972;0.0008001240613490464
-0.0001589342784654594;0.001159463443114721;-0.00017948888485496062;-0.0012440206856247705;0.0002659247980208552;0.001484767865239063;0.0014632587222901208;0.0007247395586085812;0.0008043913562019498
-0.00017947962937575263;0.0011580973373565596;-0.00013121209437473873;-0.0012675141254055965;0.0002485306315226289;0.0015140307608401489;0.0015042651796781201;0.0007537371570743475;0.0008040670920850803
-0.00020360686616280622;0.0011405303612210475;-7.727682000659932e-05;-0.0012812526174750696;0.00023158500242784547;0.0015353681461005872;0.001536093349028904;0.0007795515703420159;0.0007998780739506078
-0.0002314212928624376;0.0011066064351257091;-1.8651190284828386e-05;-0.0012857179519972985;0.0002156949742268704;0.0015489863100289817;0.0015586047983199777;0.0008021434287333961;0.000792613200532249
-0.0002629666086881712;0.0010563976551809962;4.3602655512267426e-05;-0.001281462340211227;0.0002014244264868548;0.001555104253517191;0.001571777258590179;0.0008214954283992847;0.0007831100697849702
-0.0002982220012925061;0.0009901989750212997;0.00010836372997517692;-0.001269085450834859;0.00018928001366838934;0.0015539451381019304;0.001575719043064329;0.000837615924035975;0.0007722360020147278
-0.00033707157421293066;0.0009086131849602729;0.00017445109208861945;-0.0012493209113353945;0.00017971276465091139;0.0015457642463579157;0.0015705893240889896;0.0008505139492521321;0.0007608489922172039
-0.0003792886506044106;0.0008125818624884674;0.00024062287378869024;-0.0012230662792859592;0.00017311164426722696;0.001530871749424704;0.0015565622487218865;0.0008601887506550716;0.0007497651090655999
-0.0004245861925489695;0.0007031992153076104;0.000305656957969887;-0.001191166587776219;0.00016976668279968006;0.0015095768681239637;0.0015339924707337554;0.0008666815945827847;0.0007397685879661566
-0.0004726502622044745;0.0005815935310831206;0.00036844540828534603;-0.0011542792972441525;0.00016984977632444762;0.0014821318371202178;0.0015035100700970508;0.0008701047007678219;0.0007316148311209196
-0.0005230357575093954;0.00044926475722522935;0.00042791730309794224;-0.0011132728881476702;0.0001734683963011574;0.0014488432081367136;0.0014656703258918288;0.0008705333869290811;0.0007259435885511359
-0.0005750846148710448;0.00030832688480648236;0.00048290661234179496;-0.001069524952509732;0.0001806979934627704;0.0014102068876242387;0.0014206855797042192;0.0008679268776423115;0.0007231983593970218
-0.0006281467128554388;0.0001607496911582558;0.0005323750130117986;-0.0010240665472487597;0.0001914623575366247;0.0013666891790218103;0.0013691128722138663;0.0008623441710361006;0.0007237435359470244
-0.0006818014168087076;7.64886036178536e-06;0.0005757971398975753;-0.0009767770063309042;0.00020544458842361034;0.0013184064742673023;0.001312497155290291;0.0008541399024741657;0.0007280029949490359
-0.0007354391048747776;-0.00014929419562687558;0.0006128051745965194;-0.0009280468918636055;0.00022233345303797084;0.0012655448183585309;0.001251965781248281;0.0008435275488128411;0.0007361879746094472
-0.0007877557016044135;-0.0003062230057851448;0.0006423738291560331;-0.0008806845377758576;0.00024205871045428345;0.0012090996449226907;0.0011866239996902042;0.0008300951628685481;0.0007479300473759723
-0.0008376042696889276;-0.00046001818023023517;0.0006635100584579783;-0.0008365963084380736;0.00026431617582481647;0.001150082238183708;0.0011162884265487876;0.0008136631319008551;0.0007627863774988646
