MU_1;MU_2;MU_3;MU_4
0.0001853189772166451;0.0006384358734861937;0.00044847673529702727;-0.00023021883430225328
0.00017858353819641705;0.0005356000325171535;0.0004035295724643574;-0.00025519592882544846
0.00017126831886502624;0.00042055023680588036;0.0003602216878298719;-0.00027463818577482224
0.00016378684417376796;0.0002962357321277943;0.00032008300227862643;-0.00028808851417284984
0.0001565601817125326;0.0001658438085304769;0.00028458322506683017;-0.00029522541044390264
0.00015000656455059033;3.2725075591365716e-05;0.0002550971349574168;-0.00029587006287971706
0.0001445313111376119;-9.968407642412177e-05;0.0002328696395651867;-0.00028999265736282345
0.00014051750313360788;-0.0002279395433648247;0.00021898126079555777;-0.0002777183678770877
0.00013831763924999593;-0.00034866686676201624;0.0002143163614598387;-0.0002593316314285306
0.00013824608913491328;-0.0004586380015368119;0.00021953804895839848;-0.00023527512558118498
0.00014057181168365348;-0.0005548484213815438;0.0002350740046845389;-0.00020613884635139099
0.00014551075509154152;-0.0006345948088391886;0.0002611153486711453;-0.00017263639023201848
0.00015321784962794694;-0.0006955509345570802;0.0002976259461314129;-0.00013557057421194427
0.00016377951735520443;-0.0007358354246908711;0.0003443539754622437;-9.579743958434869e-05
0.00017720873799247238;-0.0007540620539313085;0.000400834523372589;-5.420271424467535e-05
0.00019344515829222223;-0.0007493638823009738;0.00046637525037979973;-1.170309609362161e-05
0.00021236172699642356;-0.0007213890639133603;0.0005400284333828531;3.072685066130586e-05
0.00023377663738583917;-0.0006702777121061162;0.0006205688418159278;7.202078495015417e-05
0.00025746580270956317;-0.0005966408438463412;0.0007065092415238798;0.00011101639178421661
0.0002831686885273717;-0.0005015658889506659;0.0007961822421968964;0.00014652039849411794
0.00031058156524673466;-0.00038666085804167844;0.000887890781063691;0.0001774576270832761
0.00033933857592775846;-0.00025411990466237206;0.000980083715791162;0.00020306684024591634
0.0003689911210300827;-0.00010675725134355848;0.001071468500681473;0.00022304681013097223
0.0003990050059538423;5.206357168724131e-05;0.0011609630688000135;0.00023752806486945527
0.0004287952613448435;0.00021865736390861844;0.0012474436754182283;0.0002467901428586443
0.0004578046219329079;0.0003893805043857845;0.0013293668341823012;0.00025077587753322036
0.00048560407911776377;0.0005610015885496418;0.0014044865737170968;0.0002486342104767073
0.0005119639095922874;0.0007308668366418638;0.0014699627028317327;0.00023865141996340727
0.0005368314546233638;0.0008966621677620322;0.0015230622616448837;0.00021887991097178128
0.0005601782512757612;0.00105574129013647;0.0015623532540916707;0.00018846370965407537
0.0005817498348055716;0.0012042872526446282;0.0015888614384075965;0.00014914741916212816
0.0006008440275957497;0.0013368712826084294;0.0016063384769050976;0.00010598264249555439
0.0006163044759387153;0.0014470496878537956;0.0016198781381472143;6.61842560059665e-05
