1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33
7247.0;7544.0;6473.0;6576.0;9881.0;4530.0;5954.0;6362.0;6738.0;4610.0;5523.0;4120.0;9719.0;6347.0;5199.0;5378.0;5035.0;5486.0;4326.0;5855.0;4931.0;5973.0;7756.0;6245.0;;9004.0;6083.0;9077.0;;;9840.0;9609.0;9497.0
7394.0;7698.0;6590.0;6814.0;9992.0;4818.0;6039.0;6572.0;7088.0;4727.0;5574.0;4229.0;9844.0;6490.0;5287.0;5495.0;5105.0;5586.0;4438.0;6032.0;5005.0;6120.0;7972.0;6282.0;;9076.0;6107.0;9183.0;;;9962.0;9853.0;9730.0
7551.0;7780.0;6723.0;7058.0;10119.0;4914.0;6165.0;6716.0;7475.0;4750.0;5599.0;4337.0;9967.0;6588.0;5322.0;5589.0;5385.0;5618.0;4467.0;6052.0;5027.0;6166.0;8072.0;6370.0;;9151.0;6214.0;9715.0;;;;9968.0;10084.0
7704.0;7889.0;6831.0;7082.0;;5097.0;6251.0;6814.0;7761.0;4899.0;5625.0;4449.0;10084.0;6700.0;5463.0;5624.0;5480.0;5762.0;4557.0;6236.0;5094.0;6248.0;8185.0;6487.0;;9489.0;6287.0;9810.0;;;;10212.0;10237.0
7786.0;8027.0;6945.0;7186.0;;5123.0;6370.0;6929.0;7800.0;4921.0;5760.0;4554.0;;6784.0;5510.0;5730.0;5503.0;5877.0;4628.0;6297.0;5156.0;6379.0;8279.0;6562.0;;9715.0;6369.0;9853.0;;;;;
7896.0;8182.0;7071.0;7223.0;;5234.0;6454.0;6964.0;7871.0;5012.0;5870.0;4612.0;;6843.0;5738.0;5862.0;5570.0;6000.0;4706.0;6539.0;5204.0;6487.0;8412.0;6609.0;;9840.0;6466.0;9973.0;;;;;
8022.0;8340.0;7212.0;7339.0;;5292.0;6686.0;7062.0;7896.0;5159.0;5894.0;4640.0;;6945.0;5758.0;5887.0;5629.0;6025.0;4821.0;6571.0;5288.0;6577.0;8530.0;6658.0;;9928.0;6647.0;10098.0;;;;;
8177.0;8448.0;7351.0;7367.0;;5413.0;6765.0;7195.0;7996.0;5182.0;6038.0;4717.0;;7047.0;5780.0;6001.0;5688.0;6046.0;4841.0;6591.0;5460.0;6599.0;8579.0;6745.0;;;6692.0;;;;;;
8335.0;8592.0;7401.0;7396.0;;5509.0;6875.0;7334.0;8020.0;5312.0;6066.0;4839.0;;7480.0;5997.0;6028.0;5736.0;6133.0;4906.0;6814.0;5510.0;6940.0;8785.0;6779.0;;;6735.0;;;;;;
8456.0;8723.0;7460.0;7446.0;;5612.0;7055.0;7379.0;8120.0;5479.0;6132.0;4942.0;;7525.0;6043.0;6130.0;5892.0;6165.0;4945.0;6959.0;5690.0;6971.0;8895.0;6825.0;;;6821.0;;;;;;
