1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
4905.0;4758.0;4234.0;3299.0;4190.0;3518.0;2732.0;3153.0;3159.0;3480.0;3795.0;3279.0;3328.0;4880.0;2682.0;4362.0;4089.0;2798.0;3667.0;3480.0;5562.0;2973.0;6024.0;3048.0;3462.0;3060.0;3248.0;4336.0;3549.0;3480.0;4055.0
5012.0;4979.0;4352.0;3420.0;4513.0;3568.0;2845.0;3402.0;3269.0;3831.0;3837.0;3372.0;3382.0;4961.0;2777.0;4451.0;4120.0;2885.0;3796.0;3686.0;5714.0;3112.0;6573.0;3145.0;3492.0;3141.0;3367.0;4399.0;3571.0;3556.0;4231.0
5104.0;5096.0;4377.0;3535.0;4603.0;3669.0;2908.0;3475.0;3346.0;3933.0;3877.0;3422.0;3419.0;5078.0;2799.0;4471.0;4209.0;2966.0;3898.0;3711.0;5762.0;3137.0;6669.0;3243.0;3577.0;3256.0;3487.0;4472.0;3645.0;3663.0;4373.0
5279.0;5121.0;4407.0;3810.0;4646.0;3695.0;2929.0;3501.0;3380.0;4086.0;3954.0;3475.0;3664.0;5179.0;2957.0;4627.0;4278.0;2997.0;4031.0;3831.0;5898.0;3269.0;6932.0;3272.0;3690.0;3324.0;3560.0;4562.0;3794.0;3747.0;4462.0
5437.0;5233.0;4516.0;3917.0;4715.0;3897.0;2975.0;3633.0;3414.0;4218.0;4270.0;3520.0;3697.0;5694.0;2988.0;4773.0;4320.0;3124.0;4078.0;3912.0;6032.0;3336.0;7045.0;3369.0;3812.0;3559.0;3674.0;4632.0;3876.0;3795.0;4526.0
5727.0;5283.0;4757.0;4056.0;4735.0;4037.0;3246.0;3653.0;3471.0;4249.0;4430.0;3601.0;3750.0;5809.0;3079.0;4802.0;4391.0;3217.0;4124.0;4055.0;6127.0;3397.0;7174.0;3403.0;3844.0;3804.0;3869.0;4674.0;3921.0;3816.0;4644.0
5995.0;5443.0;4787.0;4518.0;4763.0;4063.0;3274.0;3683.0;3504.0;4330.0;4460.0;3684.0;3797.0;5862.0;3135.0;4897.0;4439.0;3329.0;4214.0;4229.0;6240.0;3496.0;7268.0;3470.0;3928.0;3874.0;3897.0;4765.0;3995.0;3916.0;4773.0
6130.0;5551.0;4882.0;4600.0;4793.0;4184.0;3302.0;4039.0;3612.0;4350.0;4605.0;3808.0;3825.0;5889.0;3292.0;4946.0;4548.0;3392.0;4329.0;4343.0;6381.0;3580.0;7385.0;3580.0;4042.0;3920.0;4026.0;4976.0;4075.0;4017.0;4881.0
6386.0;5598.0;5004.0;4738.0;4884.0;4211.0;3375.0;4196.0;3785.0;4585.0;4763.0;3886.0;3873.0;6016.0;3414.0;5031.0;4614.0;3418.0;4375.0;4367.0;6483.0;3648.0;7511.0;3666.0;4133.0;4013.0;4124.0;5033.0;4302.0;4130.0;4909.0
6515.0;5739.0;5172.0;4971.0;5009.0;4460.0;3409.0;4318.0;3825.0;4666.0;4807.0;3913.0;3956.0;6125.0;3492.0;5107.0;4669.0;3556.0;4550.0;4444.0;6581.0;3670.0;7639.0;3697.0;4328.0;4034.0;4227.0;5207.0;4324.0;4174.0;5019.0
6692.0;5820.0;5288.0;4992.0;5170.0;4491.0;3483.0;4340.0;3931.0;4907.0;4900.0;4428.0;4273.0;6226.0;3575.0;5143.0;4806.0;3659.0;4672.0;4585.0;6677.0;3848.0;8290.0;3908.0;4403.0;4131.0;4319.0;5323.0;4669.0;4222.0;5169.0
7009.0;5855.0;5428.0;5167.0;5276.0;4627.0;3509.0;4482.0;4203.0;4938.0;4975.0;4528.0;4345.0;6359.0;3670.0;5234.0;4888.0;3804.0;4871.0;4655.0;6816.0;4130.0;8408.0;4026.0;4481.0;4222.0;4563.0;5425.0;4738.0;4294.0;5281.0
7052.0;6132.0;5605.0;5283.0;5454.0;4670.0;3531.0;4629.0;4244.0;4984.0;5095.0;4589.0;4371.0;6468.0;3811.0;5550.0;4908.0;3908.0;4964.0;4793.0;6938.0;4294.0;8510.0;4138.0;4567.0;4306.0;4624.0;5723.0;4760.0;4339.0;5453.0
7180.0;6483.0;5867.0;5459.0;5547.0;4751.0;3662.0;4764.0;4360.0;5004.0;5117.0;4721.0;4433.0;6568.0;3892.0;5598.0;4982.0;4069.0;5001.0;4895.0;7053.0;4345.0;8745.0;4226.0;4677.0;4395.0;4750.0;5820.0;4968.0;4461.0;5604.0
7532.0;6518.0;6139.0;5734.0;5603.0;4895.0;3913.0;4874.0;4416.0;5136.0;5243.0;4808.0;4592.0;6661.0;3929.0;5760.0;5034.0;4089.0;5315.0;4985.0;7182.0;4491.0;8870.0;4294.0;4769.0;4473.0;4849.0;5906.0;5088.0;4753.0;5735.0
7574.0;6684.0;6248.0;5829.0;5726.0;4999.0;4003.0;4898.0;4439.0;5418.0;5285.0;4859.0;4659.0;6799.0;4067.0;5853.0;5096.0;4129.0;5431.0;5118.0;7276.0;4681.0;8963.0;4387.0;4861.0;4558.0;4962.0;6149.0;5184.0;4845.0;5867.0
7712.0;7045.0;6365.0;5858.0;5751.0;5022.0;4043.0;4981.0;4503.0;5441.0;5411.0;4908.0;5009.0;6820.0;4238.0;5874.0;5208.0;4256.0;5545.0;5196.0;7393.0;4753.0;9109.0;4582.0;5071.0;4628.0;5036.0;6378.0;5204.0;5125.0;5950.0
7844.0;7174.0;6396.0;5944.0;5851.0;5148.0;4204.0;5082.0;4523.0;5563.0;5431.0;4966.0;5029.0;7057.0;4354.0;5940.0;5329.0;4310.0;5575.0;5226.0;7659.0;4849.0;9206.0;4672.0;5202.0;4726.0;5117.0;6479.0;5330.0;5189.0;5998.0
8114.0;7311.0;6703.0;5999.0;5992.0;5201.0;4226.0;5113.0;4579.0;5723.0;5549.0;4990.0;5076.0;7166.0;4450.0;6270.0;5443.0;4399.0;5619.0;5315.0;7777.0;4870.0;9347.0;4745.0;5237.0;4757.0;5594.0;6692.0;5436.0;5396.0;6147.0
