1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38
4136.0;8694.0;3270.0;2783.0;4230.0;2392.0;2990.0;2915.0;2759.0;3058.0;2496.0;2127.0;2925.0;2572.0;1828.0;2606.0;2709.0;2652.0;1983.0;3626.0;2498.0;2515.0;3161.0;3614.0;2658.0;3171.0;2134.0;4268.0;3533.0;5045.0;2902.0;2406.0;3071.0;2502.0;3066.0;3059.0;2951.0;3687.0
4225.0;9104.0;3395.0;2818.0;4362.0;2453.0;3096.0;3145.0;2809.0;3115.0;2528.0;2209.0;2951.0;2602.0;1853.0;2653.0;2818.0;2818.0;2036.0;3772.0;2533.0;2545.0;3273.0;3727.0;2827.0;3222.0;2328.0;4361.0;3616.0;5281.0;2944.0;2496.0;3133.0;2573.0;3527.0;3080.0;3209.0;3819.0
4357.0;9203.0;3529.0;3103.0;4395.0;2554.0;3129.0;3369.0;2991.0;3228.0;2585.0;2407.0;2981.0;2790.0;1873.0;2773.0;2949.0;2838.0;2117.0;3902.0;2611.0;2617.0;3352.0;3851.0;2982.0;3251.0;2377.0;4466.0;3877.0;5386.0;2978.0;2590.0;3430.0;2593.0;3548.0;3157.0;3479.0;3954.0
4478.0;9337.0;3815.0;3262.0;4597.0;2612.0;3157.0;3456.0;3156.0;3321.0;2825.0;2515.0;3104.0;2947.0;1979.0;2830.0;3114.0;2995.0;2203.0;4160.0;2729.0;2685.0;3568.0;3937.0;3083.0;3330.0;2540.0;4720.0;3982.0;5599.0;3037.0;2665.0;3540.0;2720.0;3624.0;3265.0;3620.0;4083.0
4577.0;9815.0;3935.0;3388.0;4712.0;2655.0;3269.0;3489.0;3251.0;3507.0;2929.0;2556.0;3225.0;2987.0;2019.0;2948.0;3216.0;3112.0;2223.0;4220.0;2788.0;2718.0;3657.0;4024.0;3110.0;3372.0;2568.0;4827.0;4047.0;5696.0;3097.0;2736.0;3628.0;2772.0;3740.0;3373.0;3723.0;4222.0
4720.0;10194.0;4077.0;3416.0;5073.0;2772.0;3373.0;3569.0;3389.0;3547.0;2962.0;2630.0;3270.0;3072.0;2039.0;2995.0;3320.0;3247.0;2246.0;4695.0;2810.0;2970.0;3728.0;4105.0;3221.0;3539.0;2658.0;4935.0;4092.0;5792.0;3211.0;2793.0;3694.0;2893.0;3808.0;3520.0;3809.0;4358.0
4843.0;;4353.0;3634.0;5312.0;2907.0;3515.0;3781.0;3453.0;3831.0;3094.0;2687.0;3432.0;3232.0;2139.0;3113.0;3400.0;3273.0;2340.0;4715.0;2965.0;3101.0;3852.0;4544.0;3274.0;3620.0;2728.0;5049.0;4132.0;5905.0;3236.0;2834.0;3743.0;2936.0;3882.0;3618.0;3873.0;4493.0
5058.0;;4621.0;3774.0;5347.0;3061.0;3542.0;3826.0;3566.0;3937.0;3168.0;2775.0;3622.0;3323.0;2199.0;3227.0;3430.0;3352.0;2399.0;4826.0;3099.0;3123.0;3914.0;4693.0;3538.0;3663.0;2791.0;5176.0;4486.0;6124.0;3302.0;2967.0;3819.0;3054.0;4044.0;3687.0;3897.0;4628.0
5308.0;;4758.0;3854.0;5413.0;3109.0;3632.0;3852.0;3681.0;3994.0;3208.0;2827.0;3670.0;3405.0;2227.0;3365.0;3521.0;3413.0;2425.0;4864.0;3154.0;3165.0;3938.0;4935.0;3561.0;3792.0;2892.0;5274.0;4927.0;6227.0;3523.0;3059.0;3893.0;3101.0;4268.0;3731.0;4029.0;4763.0
5392.0;;4944.0;4459.0;5494.0;3159.0;3665.0;3922.0;3738.0;4081.0;3244.0;2928.0;3765.0;3524.0;2254.0;3500.0;3551.0;3461.0;2530.0;4930.0;3217.0;3274.0;3989.0;5028.0;3672.0;3860.0;3107.0;5475.0;5055.0;6395.0;3612.0;3115.0;4007.0;3215.0;4369.0;3869.0;4301.0;4950.0
