MU_1;MU_2;MU_3;MU_4;MU_5;MU_6;MU_7;MU_8
-0.002393900277824081;4.210172117699891e-05;0.0007944959045506688;0.00016811728722203315;9.693213647209082e-05;-0.00045783747515682036;-0.004292917925724797;0.0012859583115214042
-0.002533195153413252;0.0002718712499105884;0.0008334944590786857;0.00022177391645266506;0.00016033137987484238;-0.000462085670103918;-0.003457333260432968;0.0012643482948013769
-0.002638731552339248;0.0004999912301637519;0.0008537545150448418;0.0002690748059142945;0.000220403590508471;-0.00047038404493117593;-0.002677267796313982;0.0012318624916128436
-0.00270840650923106;0.0007207199758564884;0.0008552149325306676;0.0003014570405265244;0.00026805709877868227;-0.00048402068803703576;-0.002046151818333513;0.0011938800094345888
-0.0027408820752240987;0.0009287519498886673;0.0008388803163339387;0.0003145243545541736;0.00030086773395703975;-0.0005021980786486627;-0.0016148694677780113;0.0011571848673494812
-0.0027356192766724574;0.0011194305426892362;0.0008062900932148338;0.00030882137371096623;0.00032444256801726916;-0.0005231120036331947;-0.0013883660572636862;0.0011299183522232334
-0.002692913739109719;0.0012888287961725616;0.000758534427803136;0.0002896799573759144;0.00035053429587692626;-0.0005456124936128385;-0.0013307860423451617;0.0011190576527451322
-0.002613927263527336;0.001433651880228072;0.0006952433152396619;0.0002659467660463089;0.00039142544063588725;-0.0005704986007828618;-0.0013776041237160439;0.0011254126365500014
-0.002500701151827702;0.0015509878347081457;0.0006142714562080716;0.00024758889463003046;0.00045209177891172977;-0.0006003425583929715;-0.001452397901554076;0.0011383118400323492
-0.0023561321561897768;0.001638035702389506;0.0005127629674556334;0.00024256434675479831;0.0005239093940426698;-0.0006372569540085183;-0.001485479369948736;0.0011341121674661625
-0.0021838957623248867;0.0016920212624495982;0.00038971492385273914;0.00025386689062822454;0.000584784852379797;-0.0006792413904763363;-0.0014312468197760192;0.0010827768811500123
-0.0019883167756746894;0.001710499068279596;0.0002491349753718061;0.0002780622107646793;0.0006090406902381839;-0.0007172224421169826;-0.0012806534567042845;0.0009636937072503835
-0.0017742105045008489;0.0016920832538408934;0.00010185338023377164;0.0003065523184162615;0.0005855650642828302;-0.0007357202307092753;-0.0010648602573928695;0.0007858059684976452
-0.0015467383005876997;0.0016373656236822202;-3.62477435859155e-05;0.0003299332029630708;0.0005359711911935803;-0.0007192277196072504;-0.0008467194321325188;0.0006005018431756022
-0.001311323141253368;0.0015494868749550497;-0.00015068638610686588;0.00034418500434328306;0.0005193977908508972;-0.000663442162442285;-0.0006991903385190779;0.0004930813953699813
