MU_1;MU_2;MU_3;MU_4;MU_5;MU_6;MU_7;MU_8;MU_9;MU_10
-0.0010625254113578592;2.9973170588206974e-05;0.0005569378373335321;0.00038681486066707697;-0.00037744766814638934;0.000555304126802575;-0.0015292099371729225;-0.0002090288476152558;-0.0001614614591227956;-0.00039056191237495346
-0.0010169744433350442;9.40256581952222e-05;0.0005652392670723362;0.0003571665985218172;-0.000328486052223462;0.0005568119288159474;-0.0011730557042120876;-0.00017941610555194395;-0.000299582943392598;-0.00039268102326148505
-0.0009445983682206857;0.00016568210403881408;0.0005671799031888378;0.0003241123278544144;-0.00023730915936330765;0.0005483332664381639;-0.0007014265043357189;-0.0001293702074084497;-0.00046582358106098197;-0.00037695388933506183
-0.0008476997984650263;0.00024325540217883201;0.0005626486666896041;0.00028963059115727117;-0.00012472908237420402;0.0005319729500356901;-0.00016716022159476686;-6.601923916701544e-05;-0.000642242169996704;-0.00034968259917963313
-0.0007292895006437796;0.0003248607207792133;0.0005516863726989167;0.00025592171519291806;-1.563886882854453e-05;0.0005103246240728926;0.00036735678193328385;2.0125206728469836e-06;-0.0008079250775513552;-0.00031857304115331237
-0.0005928870063279147;0.0004085130435843044;0.0005344738027094561;0.00022515830492457248;6.53219824642496e-05;0.00048608624221409773;0.0008400961512486264;6.605485936904062e-05;-0.0009423126747428812;-0.0002913826018787788
-0.00044231023799292887;0.0004922269564051489;0.0005113176598045338;0.0001992396712981218;9.80658400477301e-05;0.000461679922821968;0.0011992193812972955;0.00011883036719784902;-0.0010285016991922644;-0.0002745711706063579
-0.000281483069721821;0.0005741071109789732;0.0004826382395420341;0.00017959341183862077;7.052365846054014e-05;0.00043894810327147404;0.0014110398334403588;0.00015561550833484165;-0.001055925942840602;-0.00027219934104415357
-0.00011428429073199529;0.0006524198831028359;0.00044896133158089095;0.00016705738890832964;-1.9352512312096836e-05;0.0004189805118572625;0.001464685249820789;0.0001749140104192283;-0.0010219352971507605;-0.0002852709290786316
5.554822305098074e-05;0.0007256399375717243;0.00041091391680118895;0.00016185816744112734;-0.00016339743375668128;0.00040209581691286585;0.0013726757644894846;0.00017853080501312426;-0.0009320000112426942;-0.0003116357135070984
0.00022445615646179157;0.0007924691184276425;0.00036921962179232;0.00016368173869538838;-0.00034484535510592593;0.00038796571492440623;0.0011674259701944148;0.00017105417506389615;-0.0007985236486288828;-0.00034646738416066795
0.0003890518335569632;0.0008518290133243403;0.00032468756730199964;0.00017181439058441082;-0.0005413962038862478;0.00037583846134248;0.0008944605808251838;0.00015886827706728423;-0.0006385080104470367;-0.00038322703217227996
0.0005460804151730167;0.0009028327194887006;0.0002781893547969582;0.00018532073740311572;-0.0007291149156068389;0.0003648036385299816;0.0006037423736096414;0.00014890279459227462;-0.00047052999283011653;-0.00041492950926498475
0.0006923768276926634;0.0009447457376847079;0.00023062451338239502;0.0002032246600606056;-0.0008864045980588675;0.00035404525585047805;0.00034082544270239547;0.00014736383844115447;-0.0003116239846049689;-0.0004354634470851464
0.00082484105580562;0.0009769498803211705;0.0001828832956051244;0.0002246659592432217;-0.0009973108693056662;0.00034305198036018727;0.00013950709594679877;0.00015867570130713928;-0.00017468451927660428;-0.0004406908286224601
0.0009404507243716539;0.0009989259129143042;0.00013582276812369658;0.00024901600608061736;-0.0010535784965835459;0.0003317779747617686;1.7276318719042334e-05;0.00018480592872399407;-6.689795428058335e-05;-0.00042908332546319364
0.0010363213943105096;0.0010102679246902092;9.027153482315616e-05;0.000275943270580749;-0.001055152690223987;0.00032075799761869145;-2.5762738998195782e-05;0.00022506565366929934;1.0514257598077065e-05;-0.00040174895393146393
0.0011098141541820172;0.0010107332347816232;4.7065755298128455e-05;0.0003054203347372794;-0.0010091353798974965;0.000311164851824739;-4.5352944397351935e-06;0.0002763944862049203;6.126887373090169e-05;-0.00036185730024877256
0.0011586786714174156;0.0010003165549766376;7.096066274819026e-06;0.00033765985100965465;-0.0009275052371176365;0.0003047619345826374;5.6080793643544294e-05;0.00033406845826007987;9.206509177995887e-05;-0.00031365246014522074
0.001181209883734508;0.000979320827525383;-2.8677964475060126e-05;0.0003729668106559422;-0.0008241331098902615;0.0003036762206299493;0.00012785829597906413;0.00039271202177355825;0.0001102999834998188;-0.0002613899748669705
0.0011763901682785897;0.0009483882326207052;-5.929487735310727e-05;0.00041151039584679997;-0.0007117373383863668;0.00030993774787168156;0.0001859295794217301;0.00044744257830611967;0.0001221236082078017;-0.0002085737901002065
0.0011439883115050289;0.00090846264437871;-8.396142111367833e-05;0.00045305693680100956;-0.000599415782960461;0.0003248291175760074;0.00021422206341616573;0.0004949222660802811;0.00013133583727646713;-0.00015774766734308543
0.0010845934793418178;0.0008606834566852911;-0.00010228493530166427;0.0004967569683447719;-0.0004912716677840998;0.000348248540507843;0.00020851193143265665;0.0005340481514904414;0.0001392557015632287;-0.0001108214687464478
0.0009995765740468214;0.000806252973975872;-0.0001144527470403377;0.0005411152644565705;-0.00038643623649514523;0.0003784368287551889;0.00017643255230301769;0.000566015928874955;0.00014525797072821584;-6.958789438565531e-05
0.0008909900771548199;0.0007463546769261529;-0.00012120337775491822;0.0005842527243813243;-0.0002805040839901893;0.00041243023527732614;0.00013434664578382066;0.0005935963666167137;0.0001473912314436964;-3.5890567192766086e-05
0.0007614348874598025;0.0006821993344271843;-0.00012348112920469546;0.0006244641390340166;-0.00016806590158742308;0.0004473688218415733;0.00010165668766331962;0.0006197017700655944;0.00014257286867142403;-1.1025397031340637e-05
0.000613931123002236;0.0006152196680148292;-0.00012182211088312805;0.0006608987177821971;-4.569841261710725e-05;0.00048231036862221636;9.382814019832488e-05;0.0006456595816341971;0.00012635278881242186;5.539239034823518e-06
0.00045182305448452183;0.0005473289881756235;-0.00011574385892909432;0.0006940146908078878;8.546336965990953e-05;0.0005196478935729384;0.00011600035050147003;0.0006699225341427201;9.293913848238448e-05;1.7318989374884055e-05
0.00027872558916316174;0.00048105157300615796;-0.00010358318462325837;0.0007254085143140246;0.00021847773729283647;0.0005649506966013192;0.00015932124793457196;0.0006880223600542649;3.6618038705819055e-05;3.052938676748998e-05
9.848926793637384e-05;0.0004193005199636451;-8.318809679270554e-05;0.0007568092712245518;0.00034130231891475244;0.0006244226031198349;0.00020176964476678456;0.0006942240347196222;-4.465696825379614e-05;5.126351688223888e-05
-8.486083581836071e-05;0.00036469501168043023;-5.3509557476703735e-05;0.0007884798403378504;0.0004394791861663094;0.0007003525515890337;0.0002140265703429333;0.000684527816573851;-0.0001441235561456215;8.029785533621771e-05
-0.0002672511545291908;0.00031858420994423887;-1.6510044002296977e-05;0.0008178245524213957;0.000500018899695568;0.0007865954664606613;0.00016904616524901454;0.0006596561694459227;-0.00024215452109813842;0.00010773092118748418
-0.0004447475370594906;0.00028028021854435345;2.180831365052323e-05;0.0008393382744659446;0.0005150122663725378;0.0008673779009425184;5.196256873791034e-05;0.0006260107131317772;-0.00030739318389398;0.00011144379986216057
-0.0006137365004441792;0.0002471895580882146;5.259471746855272e-05;0.0008467618034090795;0.00048333656254236204;0.0009224026017381734;-0.0001341131201528773;0.0005929472302234639;-0.0003065464831948182;6.337999667418739e-05
-0.0007709797693096442;0.00021633517390134036;6.815419537770507e-05;0.0008372416400704293;0.0004095084286341642;0.0009385413621685658;-0.0003699315364465318;0.0005664454690610411;-0.0002225267801367696;-5.5341776504705246e-05
-0.0009134347984690541;0.00018706917879112768;6.769272218079947e-05;0.0008156909029583114;0.0003002273096398133;0.0009237729593953995;-0.0006297602664334628;0.0005419455229613291;-7.435114457310809e-05;-0.00023525691548628702
