MU_1;MU_2;MU_3;MU_4;MU_5;MU_6;MU_7;MU_8
0.003040912303295866;-0.019686126420754273;-0.00754439188574168;-0.00173418718088217;0.0015630391142141833;0.0011927392586160265;0.008332810039166812;0.017474035279116295
0.0005637211678108737;-0.02686644784060461;-0.006204969862390094;-0.004536929924003697;-0.0018813040914146964;0.000549406363181493;0.0024048044897723476;0.007338521253336001
-0.0019072936122324477;-0.029763003628318744;-0.0025335487966108208;-0.005651013595015379;-0.006109425158502302;-0.0027987487542942393;-0.0036586792863032647;-0.004870982326208854
-0.004152127461065344;-0.02832792401447091;0.0019780603022398866;-0.005258750609300746;-0.009756811221386528;-0.005109992827755846;-0.0072332301221582195;-0.012978494973908157
-0.0061045629898654735;-0.023606603323887605;0.0055544942438261104;-0.003983117865200724;-0.011717381502599484;-0.0034615572731100967;-0.006928665365256191;-0.013527739108267862
-0.007835401842137673;-0.01722720012531689;0.006886223916387227;-0.002574392127247801;-0.011162539264816316;0.002075499129911924;-0.003299788460893471;-0.007372320508149957
-0.009450138540341357;-0.01073145201098761;0.005549939730388292;-0.0015351263274560743;-0.007685261818441151;0.008453313294389411;0.0015849842617643231;0.0013069340198116378
-0.010989758193281034;-0.0051576172520868165;0.0020672890583545204;-0.0008584749179383005;-0.0016019895131463959;0.011818584268624553;0.005385975034613156;0.00773412738967569
-0.012408869063941055;-0.0010223520989056426;-0.0023522345750177803;-0.0001267454488255104;0.0057962221198161155;0.01009917939953447;0.006621951461727019;0.009279496851857132
-0.013621813524808788;0.0015078379471609269;-0.0063125053258241744;0.0010186345622547393;0.012331139399946633;0.004198684930643711;0.005054521275466578;0.006613950341455445
-0.014555176986138443;0.0025149863082422987;-0.008797800784869077;0.0024326580061885157;0.015571060530643274;-0.002711386031207436;0.0014778539031459496;0.002736235162616313
-0.015171622668171033;0.0023176019175469536;-0.009538177471729884;0.0034876306428001944;0.013906343160629766;-0.0070449263480639;-0.0026386487199107442;0.0006899409972433545
-0.015477072116816986;0.0013861236520603746;-0.008963026563026777;0.003544740583168086;0.007552042947515263;-0.006601716412736861;-0.005566263150606856;0.0015645693115950653
-0.015524104033904277;0.00012846769580339822;-0.007754630589424288;0.002436170456202894;-0.0011952585460029204;-0.001400554734171036;-0.005944969121756291;0.004033249602216457
-0.01540077809676356;-0.0012804970459782744;-0.006292131738121513;0.0005659164602934897;-0.008805755366681352;0.006683781265457709;-0.003491523212590971;0.005546518111490419
-0.015199590272412505;-0.0028378317889579978;-0.004397805397667467;-0.0013864574445922261;-0.012148815954584181;0.01497161811864627;0.0006636953272507606;0.004232647042597692
-0.014983650975004627;-0.004485526082725612;-0.0016100478013745105;-0.002867289244732209;-0.009984624166159075;0.020905201570279613;0.0043439050494838245;0.0002100351934123421
-0.014763720009121689;-0.005968651972744852;0.0021906730004867736;-0.003643007934763494;-0.003415156697643487;0.022449281485205325;0.005344421018201386;-0.004490775370860995
-0.014479870979201982;-0.006909153493604961;0.00627965801731355;-0.0037034244290948953;0.004877361347941534;0.01827159218286412;0.002686686691725652;-0.007266382243779101
-0.013983348058895393;-0.006985882492546415;0.00914081943535766;-0.0030457019061583;0.011962978027952516;0.00819788187282917;-0.0025867973380211875;-0.0066399661695855155
-0.013036697441999331;-0.006054372426032467;0.009143957712459605;-0.0015702807314604222;0.015706322297542638;-0.00611511876367547;-0.00774468707987753;-0.003207307895890651
-0.011359024916898759;-0.004170703051325723;0.005503304384612428;0.0008292130241099957;0.015113162898912982;-0.02095567959184997;-0.009854215556923484;0.0008331396694639331
-0.008720772512691948;-0.0015846333292032706;-0.0010496783242200996;0.0040856566769554205;0.010202224602889885;-0.03141065299170523;-0.007531947512464866;0.0032742515126671836
-0.005055742312185279;0.0012673276316722036;-0.008370751521469044;0.007854282152524369;0.0018447560562879185;-0.03326892455343218;-0.0017542813524160158;0.0034446064750947285
-0.000535213503296147;0.003813812056781161;-0.013862824690035783;0.011568913393507317;-0.008268939701400727;-0.02517731518315999;0.004803718021367727;0.0025062470701134243
0.004443401997909216;0.005487884793377473;-0.015765401414351995;0.014597570724930961;-0.017748745658487712;-0.009819244914922089;0.009370177432749044;0.002307511499011608
0.009357893315037277;0.005908547747900289;-0.013928924419470462;0.016353856543895106;-0.023983259650751005;0.006858384395482873;0.010510575319775114;0.003764521468900428
0.013696435337343353;0.004991257545125289;-0.009613167594309064;0.01630035539427858;-0.025006913320289287;0.018294251022255712;0.00855009513321848;0.006053481097483194
0.017049709547965555;0.0029307180346118773;-0.004623765164253138;0.013970598436332237;-0.020440984560795714;0.020501115021114215;0.004928246759813372;0.007169311647281672
0.019141259082721115;0.00012497110885057515;-0.0004576213384639879;0.009209314127440344;-0.011916790637354636;0.01398598534534704;0.001120522191032468;0.0053622584735444805
0.01984745363574659;-0.0028709888906783953;0.0021566139290083376;0.0026046831225804276;-0.002464448730511039;0.0033012411110554525;-0.002089107473986227;0.0004330626863672975
0.01923749739610216;-0.005385989353701483;0.0032975335646800246;-0.0042808780645139915;0.004987895262282815;-0.005524332887506497;-0.004599513840763609;-0.005878349731541885
0.017582656390106255;-0.0067522626596522445;0.0035377108744396794;-0.009323051713587691;0.009049992495752543;-0.00823454750809317;-0.0064550744751071506;-0.01054666734613621
0.015276150116138584;-0.006499907653657424;0.00343297752311529;-0.01084264665775292;0.010209541614439597;-0.004407296919690468;-0.007346584590001303;-0.010652263848712413
0.012698888142057331;-0.004514295990639361;0.003155625997127567;-0.008563598323535393;0.00991407865209492;0.002850371359112144;-0.006618232103387951;-0.00500523153265347
0.010138467461270968;-0.0010590510427145015;0.0025676761979715403;-0.0038189592663146832;0.009254147474132694;0.009201159771774974;-0.0038087228427863135;0.004723197526584586
0.007823217589968526;0.003321287541470779;0.001644032783205973;0.0011475282436674704;0.008327047851238167;0.011680892996110161;0.0006926374761281914;0.01419429068452102
0.006019336970055775;0.007930360026693778;0.0008264352711370423;0.004307422778848628;0.0066209027672140906;0.009938246228106953;0.00545706605482538;0.01826465936847178
0.0050768283862518485;0.012033780253851259;0.000957838487817606;0.004704157667116894;0.0038549221239638385;0.00571484595281574;0.008595683193871525;0.013784105559891636
0.005352195821395242;0.014982610373737522;0.00280057432783423;0.00258935850519124;0.0004963279040380938;0.0014502282442230591;0.008782669451542734;0.0017196351751630336
0.007033510448713185;0.016341106335436974;0.00646792610172686;-0.001113811962810403;-0.002381026172705558;-0.0008992477584590081;0.005962470449896966;-0.012841065464000816
0.009968196693896715;0.015943037762885245;0.011184688718933048;-0.005531192746803125;-0.0037232516517008473;-0.00044417389462136805;0.0012554286588802497;-0.02303777393679673
0.01360690607873537;0.013856728685608125;0.015581770083123137;-0.010177122416133765;-0.003149338670385935;0.0024607729147803925;-0.003707749151505071;-0.023729892704858015
0.01712079341026336;0.010349995630101737;0.018349790049418193;-0.01471125807635921;-0.0011303071910492536;0.0063331145178130745;-0.007434737594603744;-0.014251247677066361
0.019643152731386854;0.005898895970809008;0.018806203039233974;-0.018432837492595725;0.001458514801968877;0.009060207193965086;-0.0088963003254364;0.0010159594353233647
0.02050954732390887;0.0011429814796584082;0.017013000730271205;-0.020088802852300486;0.003981526000791751;0.008693875520254527;-0.007651838742597644;0.01459671361556681
0.019402519542204053;-0.003280165345114793;0.01348081949862515;-0.01832595063227029;0.006272905645417906;0.004238094083365007;-0.00397622281424767;0.019602408383110358
0.016399112982834755;-0.006901995054836899;0.008830847442363161;-0.01255464700577583;0.008324134306414583;-0.0037986074936980914;0.0010556754120799913;0.013423047161833382
0.011954585516773995;-0.009426956822072933;0.0036927357526406733;-0.0036086388290181423;0.009870495355662496;-0.01324388078250336;0.0057377466492946885;-0.0005710911896988529
0.006824538658908021;-0.010600021274877986;-0.001260790537937402;0.006296051418394833;0.010362873176580167;-0.020752940743448887;0.008245204317900462;-0.014550164671459021
0.0019127189398254734;-0.010144166823277505;-0.005384319280107543;0.014338244527405836;0.009370876829559581;-0.023054374815250037;0.007336432436131779;-0.02047910849313653
-0.001937721688157125;-0.007905605435116063;-0.008235727517124564;0.018220797941842105;0.007031908711948381;-0.01849174630988397;0.0029457588208520497;-0.01486186750743793
-0.0041540540854343826;-0.004093916172046786;-0.009655069091884886;0.017107284418394497;0.0041368451940724665;-0.007980676876690847;-0.0036254037236934456;-0.0011052086804513423
-0.00457489252184069;0.0006393214741506846;-0.009667598830890524;0.011920291068024762;0.0017760684548376086;0.005260216547850013;-0.010089294445345863;0.01219210038233303
-0.003466035908737142;0.00539821631056906;-0.008352539123964447;0.004852845270893008;0.0007809482140256334;0.01707997429201916;-0.014059345919050557;0.016234567543284693
-0.001397061659736842;0.009369148675753754;-0.005841042062746466;-0.0016604863248519727;0.0012623706959718963;0.024062825072241813;-0.014076281782547223;0.007362596839482527
0.00097426370410415;0.01204399480450016;-0.0024450591091598945;-0.005962659746951791;0.002478782165472594;0.024617951088603124;-0.010232012995585323;-0.010538126722391834
0.0031133954110926735;0.01324740516962639;0.0012414867941230349;-0.007646345351724417;0.0031595574259370035;0.019131107499327504;-0.0040316517663846205;-0.02807882769966581
0.004724322226507011;0.013044921368846487;0.0044367970044930476;-0.007329360735602312;0.0021905022590949508;0.009417542025775823;0.0023995277944203223;-0.035680518104798435
0.005741645474456219;0.011659804323365098;0.006467361386673685;-0.006052052115687607;-0.0007126819496086922;-0.0020306482454903346;0.0072663920312799135;-0.028957236318030283
0.006245864715630597;0.009453839346747093;0.007088500044680142;-0.004745425449994057;-0.004788572053346687;-0.012640019915540911;0.009680943535093921;-0.010985500055466288
0.006371524440765802;0.0069126315422965105;0.006615267534609725;-0.003964147232067774;-0.008638131679722265;-0.020135892334527807;0.00964767724015316;0.009691324304365909
0.006246359858309243;0.004548512207064197;0.0057699107703878625;-0.003809953536582078;-0.010993368316954777;-0.022875169302075057;0.007662293966889993;0.023880491936260816
0.005957882091500719;0.0027403261913549358;0.005308053571241938;-0.003959187764223132;-0.011340907754905222;-0.02026603945727284;0.004353906736856187;0.026473780099954686
0.005530437180225169;0.001631495393725141;0.005590885240138891;-0.003831918100116367;-0.010023202783063104;-0.013149363401284725;0.00044614888771235615;0.018586429214348176
0.004908199303335974;0.0011620136388314408;0.006309727123796964;-0.002941312929513459;-0.007832673919724942;-0.0037933839588780256;-0.0030882952455188553;0.0062931093489585485
0.003952964529843898;0.0011775282812048322;0.006537110098964815;-0.0012797830856718423;-0.00545640160332919;0.004772691029309379;-0.005069440126654854;-0.003030783242882977
0.002467608392106763;0.0015071949867571657;0.005157337262310528;0.0005619129045299322;-0.0031699889485904335;0.009955120571212455;-0.004569640369139711;-0.004716719621855877
0.0002488341971832844;0.0019739705217338296;0.001529249141502012;0.0017258520118672658;-0.0009295387564312981;0.010721918568050852;-0.0015416369209707594;0.0009030636214873479
-0.0028396649001403477;0.002387778481369268;-0.003958993671746976;0.0016683245730387663;0.0013172511194168312;0.007954031556954911;0.002915306639230783;0.009063178914940457
-0.0067928902105534456;0.0025796836655461357;-0.009817741978694911;0.0005111074133163195;0.0034320043182300337;0.0037721425976097248;0.006958673587671666;0.013612663429858654
-0.011409538184545973;0.0024828559091208827;-0.014011039074884874;-0.0011465801090819784;0.0051713570758866794;0.00029361584565806316;0.008882314482976226;0.010745981853866021
-0.016275491332369132;0.0022098010686733183;-0.014879309520156382;-0.0027524606571830376;0.006405592365296172;-0.0013603412154938614;0.00794106790531589;0.0012109474630345458
-0.020810060721550137;0.002039199711397533;-0.011889405028941003;-0.0041370016979940215;0.007179204576972636;-0.0012694132757674176;0.004627864730577152;-0.010258725441461156
-0.024392606004420496;0.002254349677881753;-0.00578295586777048;-0.005368608301347272;0.007539941076409243;-0.000242513155267797;0.00028195644484600225;-0.017814040765698123
