MU_1;MU_2;MU_3;MU_4;MU_5;MU_6;MU_7;MU_8;MU_9;MU_10;MU_11;MU_12;MU_13;MU_14
-0.0014987057740946507;-0.004875032650341792;0.0027678757203868534;-0.005191523372140412;-0.0024885471365404498;-0.008261055261520496;-0.0027253689473562227;0.005753295493319058;-0.007445689797446985;0.009945854939327757;0.006217127782377267;0.00603716505601114;0.0018921674161092674;0.0019750518111580277
-0.001522081073612978;-0.004711753847611826;0.002718030339447357;-0.0050924849507612184;-0.002440140356070187;-0.007990777767329319;-0.0026460364692180555;0.005604274283210853;-0.007334051891053554;0.009718135090051217;0.00611262049931278;0.005886305343617247;0.0018358718113069194;0.0019419260548455837
-0.0015399058303709073;-0.004521709926527795;0.0026744695402170318;-0.004976768714224754;-0.0023915121829082542;-0.007725756789620155;-0.002564977648256947;0.005467367790758611;-0.00721516192748515;0.009480753428186193;0.006012298402047614;0.005729969164634734;0.0017832188618664476;0.0019134136711000027
-0.0015518591633935201;-0.004307215917695782;0.002636718817294971;-0.0048449718686005725;-0.0023415872334326036;-0.0074660485442079455;-0.002482629322181768;0.005343754490729165;-0.007087789934963321;0.009235254351241742;0.005914793131358293;0.005567991986241516;0.0017309527025251693;0.0018858091096394952
-0.0015578082072576953;-0.004071105680577427;0.002603903540150725;-0.00469742629797375;-0.0022898289168651904;-0.007212154546432202;-0.0023991370571544175;0.0052332658141692676;-0.0069492510356596515;0.008983090509372139;0.005818072288670223;0.005400155222732723;0.0016797983538584468;0.0018584543048593431
-0.0015579388104091335;-0.0038167109170925673;0.0025744227399058257;-0.0045334729503148374;-0.002236875617438518;-0.006965839150662672;-0.0023142145830838167;0.005133599264104559;-0.006795285649668097;0.008724440142483681;0.005719409608584138;0.005226894578177006;0.0016361659225472423;0.0018359581258024734
-0.0015528252140071725;-0.0035478378102215885;0.0025458295465003483;-0.004351242579657115;-0.002184707133658145;-0.006730363506292883;-0.00222723497057323;0.005040342289642078;-0.0066211322029070515;0.008457260698290546;0.005615747591415278;0.005050031497832312;0.0016106503160355588;0.0018278576783164247
-0.001543348130366811;-0.00326871142719348;0.0025151621327122314;-0.004148440353966309;-0.0021359169830908954;-0.006509572503662416;-0.002137636847953493;0.004948329771205879;-0.006423818627970373;0.008177431886433467;0.005504476802195511;0.00487299773733731;0.001612339295804007;0.001844305545372734
-0.001530420171531544;-0.0029838541172249734;0.0024798013726535706;-0.003924217392505018;-0.002092042494503978;-0.006305745868715162;-0.0020455529762079218;0.004854230547800146;-0.006204821893317855;0.007880601189704229;0.005384368780501615;0.004700046154497985;0.0016403637764253612;0.0018883486479512287
-0.0015145896505982302;-0.0026978836005733596;0.0024385976149022192;-0.003681465568917214;-0.002051562455821005;-0.006116975382872654;-0.0019523450133484563;0.004759296042155723;-0.005971414661597087;0.00756549909285911;0.005256115564603615;0.004534350087994863;0.0016770824545814563;0.0019482301976345513
-0.0014957275194829819;-0.0024152605433266318;0.0023926440624192236;-0.0034281211390619665;-0.0020088150582361144;-0.0059356818490898045;-0.0018605895091228968;0.004670390516425906;-0.00573487245836851;0.007237261453185347;0.005121857865290798;0.004375642984000928;0.0016889778695369857;0.0019953808326402776
-0.0014730741217171205;-0.0021400681761902488;0.0023449245461445033;-0.0031758541482557723;-0.0019552372673494727;-0.005750115854985722;-0.0017731629749658626;0.0045974497702577196;-0.005504808177447781;0.006908330005249314;0.004983417280336354;0.004218814256766436;0.001639687480315745;0.0019933218371605576
-0.00144583942109524;-0.0018759351197569383;0.0022983795953888694;-0.002935362257702962;-0.0018835478530379172;-0.005549719359471868;-0.0016915014910773999;0.004546914309975832;-0.005281245852322826;0.006594678525318421;0.0048397069806401525;0.004055107278927108;0.0015136223486934884;0.0019181511984772731
-0.0014142712051156104;-0.0016261802035874495;0.00225279180764389;-0.0027094541821025262;-0.0017937508044863016;-0.005332979744559618;-0.001613763483633683;0.004513332065348787;-0.005048748621223413;0.006307053560176448;0.0046847047692206;0.0038767404766414785;0.0013398700107587727;0.0017832529709150935
-0.0013807047206074406;-0.001394148016157529;0.002202020642145615;-0.0024875037492186882;-0.0016977629357269263;-0.0051136789068048265;-0.0015341748801938942;0.004474112830874876;-0.004778236733732625;0.006040368035145946;0.004507867924730906;0.003683798379406441;0.0011991021249857536;0.0016529390494970258
