MU_1;MU_2;MU_3;MU_4;MU_5;MU_6;MU_7;MU_8;MU_9;MU_10;MU_11;MU_12;MU_13
-7.908086303333963e-05;-0.0022379670144168366;-0.0009936973785136763;-0.0006416158729961802;-3.930115516668654e-05;0.00010275271139099985;0.0003640926168741977;0.0002114800134117051;4.4616423862882145e-05;-0.0019980349734563664;0.0005267073966664025;-0.0012455921178362605;0.00040074075685946227
-0.00013397099201700282;-0.002250706513292799;-0.000966076252398383;-0.000556284033553366;-0.00010781120036222601;3.380803548895451e-06;0.00036018584483103955;0.00023610055244986474;0.0001927656139536374;-0.0020462345469734735;0.0006158104874294853;-0.0012347117374766961;0.00048403839848012233
-0.00018356508098104864;-0.002243718879870516;-0.0009416918164940808;-0.0004403123464684424;-0.00014980093622448266;-9.685365285942488e-05;0.0003557836345671828;0.00022998469958524265;0.0003369942013003956;-0.002060444381337961;0.000636498788143539;-0.0012041426233336512;0.0005673743077691831
-0.00022673138724868059;-0.0022173120859172325;-0.0009209947907508768;-0.0003068485028247939;-0.00016709012821209215;-0.0001826631079831092;0.0003508811513157259;0.00016091367512449138;0.00047079098371307254;-0.002035187208133662;0.0005664612249012311;-0.0011611577473859863;0.0006492083361753096
-0.0002624389848586791;-0.0021722402736430264;-0.0009044139076246684;-0.00018570629787144406;-0.00017095921877818439;-0.00023540815794911016;0.00034673660513564905;1.5911452154539905e-05;0.0005854141508278613;-0.0019775072102431353;0.00043445628616765945;-0.001115966431078503;0.0007315790095576446
-0.00028973228077097376;-0.0021097036790549656;-0.0008926162138487095;-0.0001136487041606659;-0.00017909165076072464;-0.00024295703530464836;0.0003459896621619434;-0.0001764961808419954;0.0006726907589993748;-0.001910054526339198;0.0003317457072852323;-0.0010769002443566777;0.0008200488837735382
-0.0003077406758867723;-0.0020313360500288434;-0.0008866899373438606;-0.0001133191757739549;-0.00020609115352043607;-0.00021135959093453229;0.0003518233370537957;-0.0003396649388499816;0.0007294092783366151;-0.0018650803949034217;0.0003853545666987204;-0.0010440664731951538;0.0009209790402963762
-0.00031575717374790095;-0.0019391685770073271;-0.0008880531255751795;-0.00016876286131764121;-0.00025032017594476917;-0.00017102596230925913;0.0003661517813853119;-0.00037294767262533167;0.0007611822065770534;-0.0018677729575508736;0.0006877253191192111;-0.0010050829694040221;0.0010363990016640783
-0.00031338854072378156;-0.0018355623179426468;-0.0008979650532479538;-0.00021317437858312012;-0.00028428896431525753;-0.00016932610437724139;0.0003875180751274241;-0.00020905928954034105;0.0007826457909779739;-0.0019141186813475554;0.001205641486178425;-0.0009373481483662472;0.0011586716693242705
-0.0003007256458605606;-0.0017231124156820857;-0.0009167298491881959;-0.0001458175857162795;-0.0002579611624473017;-0.00024615216837636214;0.00041004762711707206;0.00011543711786282874;0.0008114806970043965;-0.001955863961540746;0.0017214236004852738;-0.0008194354129253246;0.0012687441735997613
-0.00027843044223365283;-0.0016045444982308865;-0.0009429684162666909;0.00011515373681351656;-0.000121032366305262;-0.0003991668474796931;0.00042491400534497113;0.00041942122227215376;0.0008565971877821234;-0.001908193543522507;0.0018705288391525235;-0.0006492235353530681;0.0013416375076724905
-0.00024762512117290674;-0.0014826379647638502;-0.0009735344274206663;0.0005590746639454625;0.00013966940179483358;-0.0005573966183738991;0.00042489211406782995;0.00041553918746100053;0.0009053154586896099;-0.0016893729608704468;0.0013112665349871429;-0.0004598806536192233;0.0013599276907675147
-0.00020953457820181126;-0.001360210012714774;-0.0010045594141271737;0.0010285638302089202;0.0004651129132108029;-0.0005879522580182648;0.00041068943054129955;-0.00014858554324142235;0.0009182871008619937;-0.0012843243793468095;-1.0708478769486362e-05;-0.0003205571574519558;0.0013306160242097208
-0.0001649784473532237;-0.0012401681581124151;-0.001033604862080173;0.001237208214060644;0.0007185840696234616;-0.00035270476103236003;0.00039557230032365127;-0.0012817016203138698;0.0008410432171627257;-0.0008014200677476946;-0.0016339107544876108;-0.0003111768407065854;0.0012952728723195006
