MU_1;MU_2;MU_3;MU_4;MU_5;MU_6;MU_7;MU_8;MU_9;MU_10;MU_11;MU_12
-0.001821267540168166;-0.0005162763020459388;2.5146735607118973e-05;0.0017140807400348693;0.00344620302598987;0.005880768577844378;-0.007922418994768334;0.011521415575027784;-0.009193030686966872;-0.003634419008183491;-0.003478803361634312;0.01304139831671825
-0.001746845665252862;2.921271773633602e-05;-0.00026470161536036206;0.0014851542701747999;0.004035855541037655;0.0019027853839343341;-0.00840928945539028;0.012478462864424094;-0.004160371317929284;-0.00951750221898569;-0.013507312869904376;0.005751590262069809
-0.0016327216665341896;0.000859775162268848;-0.001015127803969057;0.0010649680034300298;0.0043594020284374;-0.0021506456850942835;-0.008016623435495635;0.012081645683776636;0.002009330779027206;-0.014736734846266116;-0.021577408586076912;-0.003365086051703807
-0.0015229210910198527;0.0017733560258752648;-0.00193871227705923;0.0007228949079348242;0.0043794129068281526;-0.004880762594017557;-0.007099279447751177;0.009269788743617096;0.0068213326596276895;-0.017920806560880433;-0.024859948533336063;-0.01033817219264481
-0.0014463173760992955;0.0025237115489344353;-0.0026848329215695206;0.0006251671225659856;0.004194952739494249;-0.005631774468330166;-0.005650834689495089;0.004367131856142745;0.008525995660801346;-0.018240849426291717;-0.02310336536167561;-0.012307725674460479
-0.0014024303861945788;0.002903293764946126;-0.00298236345246259;0.0007553455751757393;0.003952923277221676;-0.004787541005213311;-0.0034815139748348525;-0.0010305723184774545;0.0069650592591469366;-0.01525451635573051;-0.01815057900313122;-0.00871465619942896
-0.0013669119564646765;0.0028224232359005895;-0.0027399222690903664;0.0009390531095157495;0.003734129768386357;-0.0034629504707441965;-0.0006721687109381937;-0.005058606145172344;0.0035959057531664037;-0.008987621978050194;-0.012496468661245359;-0.0012770705691460785
-0.0013100540673167019;0.0023597509945666173;-0.002059338797078103;0.0009480378527773573;0.0034819776304218513;-0.002737187513981979;0.002249666232721422;-0.00672464791430613;0.000610382861084121;-0.0003476281067617101;-0.007861629540660787;0.007161036347816815
-0.0012137602683334884;0.0017522407350554498;-0.0011696821672692263;0.0006250342476725638;0.003032876702482513;-0.002934907310829646;0.004604025006974272;-0.006408433312582562;-0.00035328326744957017;0.008663218109018028;-0.004554928976645807;0.014100649450904798
-0.0010782440477587398;0.0013077556855001537;-0.0003318285309929282;-2.9904913123906437e-05;0.002250736043610528;-0.003468475669436846;0.005916852040497624;-0.005457735640232161;0.0008940377245246096;0.015445824651260789;-0.0018401563531719282;0.018227952598472645
-0.0009209706008613637;0.001268722892069933;0.00024013421201073249;-0.0008501239029288833;0.0011771302637630578;-0.0033562765671195853;0.005918807787743588;-0.005242048383587152;0.003151312321468408;0.01789793035889114;0.0010639323211229955;0.019293787369461985
-0.0007744064015244234;0.001693511296276959;0.0004280149435809252;-0.0015741316120451382;6.638525928125183e-05;-0.002012033328002298;0.0043339988534066174;-0.006343865987105025;0.00477325268800733;0.015465098409085713;0.00411345136340207;0.017529515181165085
-0.0006828310035933956;0.002417334051390013;0.00023634631097341506;-0.001963970543197406;-0.0007494066574929706;0.00030523089869581224;0.0009607019589602518;-0.008401773886068019;0.004819129763378686;0.00951029435139777;0.006372384107145192;0.013334817481917793
-0.0006917553948377961;0.003117819968041642;-0.0002065010403555908;-0.001907629316851022;-0.0010737123348381178;0.0026854173339737036;-0.0038301994742592346;-0.010609580455655316;0.0035665680876504893;0.0027466443255196125;0.006761244373668493;0.00747182606256162
-0.0008277138169885183;0.0034654156447213084;-0.0006907834871239247;-0.0014473024824547215;-0.0009673712112452806;0.004189943678335699;-0.008689433593544271;-0.012393869398773011;0.0020566701397968117;-0.0020394933729378758;0.004911861698873997;0.0013582090781685118
-0.001078283331806181;0.003290233757622189;-0.00101001222304971;-0.000727448568480201;-0.0006844905600146405;0.00442211228490933;-0.01157616055914828;-0.01369735328235372;0.0011167594666285478;-0.003350023762202199;0.0013659020263262346;-0.0030963843835386477
-0.001387529415494985;0.0026683336512384644;-0.0010422908760176943;7.761799680878518e-05;-0.0004896818341193465;0.0036963092269042225;-0.01075182018334655;-0.014690853190662186;0.0006775105938759674;-0.0016638031587807261;-0.0029442395060961775;-0.004235964874093508
-0.001673717940261573;0.0018672452512422636;-0.0007731849091121604;0.0007915025409504906;-0.0005170830559592522;0.0027726455732555244;-0.005842815052719357;-0.015310517734124018;-9.943822337393136e-05;0.000999814299601619;-0.007289202112425142;-0.001544759390880275
-0.0018616668812403885;0.0011839941737833916;-0.00025802739596989053;0.001224682121947199;-0.0007682288980026519;0.002375039344020568;0.0017845611183621131;-0.015183321148427216;-0.0020113773000629215;0.0024292030859571806;-0.011215605883431975;0.003934897866242633
-0.001913168232083574;0.0007795344503470944;0.00041967729746794527;0.0011906801296132973;-0.0011966274295576596;0.0027866808116125304;0.009604997212185709;-0.014030589398393245;-0.004961399578280456;0.0016536551348004809;-0.014184583957735735;0.009905732167544243
-0.0018406581898513573;0.0006054098025505512;0.001149340774459954;0.0005856173343052138;-0.0017554940127698282;0.003729239838286374;0.015080342789773127;-0.01207348495798051;-0.007744752311751803;-0.00047102465323406364;-0.015363330994538649;0.01362123379448046
-0.0016978002245550826;0.00045451604713402923;0.001780504441572278;-0.0005169884482004834;-0.0023658901865844665;0.004561345280022722;0.016697376014763378;-0.009990791602519042;-0.00869047678542703;-0.0019340805772734791;-0.013951179570288234;0.012836977882542601
-0.0015503763434840537;9.747877502190797e-05;0.002158219563560041;-0.0018458808598647424;-0.0028843590057995323;0.004674195552920136;0.014438914389340996;-0.008485710215976414;-0.006769013726962027;-0.001058532316043323;-0.009811202317694757;0.006665273829381452
-0.001441282225783328;-0.0005812060990804767;0.002217238118878785;-0.003032073315771376;-0.003156309215806919;0.003875903403940789;0.009602221637719911;-0.007831263028115196;-0.0024572368044230262;0.0022439145740192523;-0.00383878160142685;-0.0038948987674889742
-0.0013697185041997232;-0.0015323963139115167;0.0020658429538865544;-0.00378593886609056;-0.0031359267959137124;0.002541459870449184;0.004133197464142386;-0.007627442970328077;0.002281189880840624;0.006362146931923911;0.002278622829652073;-0.016058177719191265
-0.001296316623276923;-0.0025993014092534706;0.0019714912930808514;-0.0040450624493803666;-0.002965644232144733;0.0013851055398189935;-0.00020036468959314056;-0.006795582916199017;0.005082775352700246;0.009049873693350535;0.006755662022140789;-0.02615262121485166
-0.001166560023951268;-0.0036238579920674693;0.0022266756967166718;-0.003995584781719152;-0.002920099797131877;0.000947410587078624;-0.002425488647174559;-0.0038893880450313004;0.0047134537102564295;0.00878859174849567;0.008393144001659317;-0.031071039443321298
-0.0009342805859386879;-0.004522860554000981;0.0029692541345293436;-0.00394580077744626;-0.0032187464473419232;0.0011698088230805105;-0.0025487141774454517;0.0021243710332341584;0.0018307857980740074;0.005461764600701275;0.006912605486925007;-0.029611896917005602
