MU_1;MU_2;MU_3;MU_4;MU_5
-0.008345184565655606;-0.004808459490026518;0.0025200872361539266;-0.01033400939195223;0.009842376400538973
-0.005366179513269956;-0.0056924465979598955;0.0030730284719896243;-0.007729881060068341;0.0028258437768463526
-0.001580642589685465;-0.0019803560283183394;0.0007682691840206952;-0.003998521105807705;-0.0044163841803098155
0.0029885720772549764;0.005634743680400685;-0.0025723536687248085;-0.0007681514926937019;-0.008481417401173993
0.007791738665958181;0.014633299425249248;-0.004792827991910812;0.0006225973083836689;-0.007461211103598768
0.011610706174750173;0.02164681141670747;-0.004635562227500591;-0.00023625166136161718;-0.0019581998570885753
0.012993961819905938;0.02387431460977727;-0.002253833600066485;-0.002606720601958008;0.005301647236881966
0.011021594218049739;0.020399807553181427;0.0012374919627546517;-0.004950290142762728;0.010937292967233444
0.005965996795010704;0.012707865691330745;0.004638226068052395;-0.005761348750851086;0.012530330073885031
-0.0005034700870251471;0.003942027287507815;0.007238517454309716;-0.004487385708268021;0.009526777438999623
-0.0057624949045522985;-0.0027552340645853107;0.008833947808417371;-0.001928963710111689;0.003145654632769756
-0.007268822394020737;-0.005798779964362801;0.009468086967961465;0.0002407636285716027;-0.004393497423922765
-0.0037988009700865347;-0.005700984714746246;0.009269248234988349;0.0005612430693185582;-0.01079570705480444
0.0037437437005631265;-0.004411301209805708;0.008447271184984556;-0.0012426660425197353;-0.01437940674730797
0.01245138109765461;-0.003955869696591378;0.007311802844443607;-0.004000980873607258;-0.014412173121237637
0.01852590882137119;-0.0051960836290714475;0.00624376571504422;-0.005699609734163741;-0.011169740100417373
0.018915385614085834;-0.007438086741065126;0.0056576043267209854;-0.004652208503775167;-0.005821752593346119
0.012706315545920133;-0.009087856617730043;0.005934965531981669;-0.0006664685137930577;-0.000168158192193965
0.0015932992781683545;-0.008814593973291488;0.00723090758042001;0.0044730134023747955;0.0038267064029232113
-0.010820055386335296;-0.0063659042961056985;0.009195021351993004;0.007672481822225935;0.004722406470203445
-0.020584685713697277;-0.0025524983330773242;0.010893179930397137;0.006203629131782401;0.0023268488662151806
-0.02507519155138423;0.0014009016761030745;0.01115242261375415;-0.00047917079602075973;-0.0019742413985826103
-0.02390174457052058;0.004539798637172189;0.009161964787818827;-0.009924600973465019;-0.005690931911610679
-0.018649916000031054;0.006415504443893849;0.004931554136553256;-0.01757375747751465;-0.006473437526593188
-0.011786170890033875;0.006852048303087112;-0.0006254793336946324;-0.01906755851719451;-0.0034869467684605494
-0.00550394938729642;0.005661349121027544;-0.005959881703151199;-0.012727818089513532;0.001977111412954304
-0.0010852508764873756;0.002746169837659786;-0.00941005267521419;-0.0007236855976833743;0.007123267041479029
0.001166794786915576;-0.0014691674748630798;-0.009867001530573263;0.011841629564985917;0.009158954431282507
0.0016743150626937625;-0.005880595747821639;-0.0073218009560363844;0.01946534752499235;0.006784957107397517
0.0012072521211546241;-0.009278346116936429;-0.0029601118481085405;0.019005855463362104;0.000844393392281872
0.000454353711647172;-0.011290769065814337;0.001297258620641093;0.011174271482447503;-0.006159480770288141
-0.0003438140609785342;-0.01275115253812658;0.00356069405006277;1.972708337691051e-05;-0.011339165540060906
-0.0014707419677757558;-0.014952642088588507;0.002716344058115747;-0.009193662543531433;-0.012751690909626159
-0.0033583863958152995;-0.018319642630890472;-0.0010371085582398447;-0.012486433259502364;-0.010084118481293883
-0.005962090515377273;-0.021660659955719783;-0.006036609932504601;-0.008745411371753364;-0.004477364756464455
-0.008447746371471037;-0.02270843857466896;-0.00967243477418347;0.00022073507650108225;0.002179339144523646
-0.00959446384416663;-0.019548679870798842;-0.009634030831737897;0.010840888055305939;0.007971610605602458
-0.008637667417557521;-0.011879750660683426;-0.005315352097032166;0.019340603340875697;0.011437539846697925
