1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
8752.0;4462.0;4123.0;3631.0;4527.0;3778.0;4677.0;4062.0;4043.0;3745.0;3943.0;3666.0;3968.0;3561.0;4306.0;3658.0;4076.0;4279.0;4071.0
9103.0;4490.0;4206.0;3717.0;4573.0;3970.0;4950.0;4135.0;4077.0;3887.0;3990.0;3708.0;4041.0;3640.0;4334.0;3693.0;4098.0;4349.0;4194.0
9129.0;4515.0;4304.0;3775.0;4624.0;4069.0;5025.0;4224.0;4177.0;3912.0;4085.0;3734.0;4117.0;3672.0;4465.0;3731.0;4275.0;4449.0;4256.0
9286.0;4544.0;4326.0;3826.0;4712.0;4106.0;5100.0;4288.0;4224.0;3932.0;4236.0;3775.0;4161.0;3766.0;4540.0;3790.0;4372.0;4481.0;4341.0
9416.0;4595.0;4416.0;3914.0;4804.0;4141.0;5174.0;4344.0;4247.0;3998.0;4270.0;3803.0;4196.0;3823.0;4691.0;3868.0;4474.0;4564.0;4403.0
9439.0;4665.0;4443.0;3981.0;4846.0;4181.0;5239.0;4473.0;4276.0;4071.0;4334.0;3941.0;4255.0;3853.0;4751.0;3972.0;4502.0;4668.0;4489.0
9491.0;4700.0;4498.0;4039.0;4931.0;4374.0;5265.0;4506.0;4354.0;4110.0;4382.0;4136.0;4293.0;3879.0;4773.0;4076.0;4603.0;4692.0;4553.0
9589.0;4734.0;4549.0;4203.0;4958.0;4408.0;5359.0;4644.0;4409.0;4261.0;4406.0;4215.0;4454.0;3902.0;4807.0;4102.0;4632.0;4726.0;4594.0
9846.0;4761.0;4602.0;4229.0;4993.0;4460.0;5713.0;4716.0;4569.0;4311.0;4463.0;4300.0;4505.0;3939.0;4879.0;4165.0;4673.0;4773.0;4632.0
9915.0;4807.0;4733.0;4311.0;5019.0;4512.0;5743.0;4771.0;4632.0;4419.0;4521.0;4465.0;4533.0;4186.0;4918.0;4186.0;4890.0;4793.0;4716.0
10139.0;4860.0;4842.0;4436.0;5146.0;4566.0;5959.0;5068.0;4700.0;4456.0;4589.0;4493.0;4676.0;4318.0;5111.0;4388.0;4947.0;4849.0;4759.0
10200.0;4920.0;4900.0;4528.0;5306.0;4590.0;6065.0;5308.0;4777.0;4480.0;4646.0;4691.0;4750.0;4404.0;5146.0;4441.0;4967.0;5120.0;4834.0
10288.0;5072.0;4922.0;4589.0;5334.0;4626.0;6147.0;5615.0;4799.0;4506.0;4718.0;4795.0;4773.0;4447.0;5232.0;4517.0;5078.0;5180.0;4871.0
10554.0;5155.0;4944.0;4644.0;5381.0;4649.0;6218.0;5678.0;4821.0;4747.0;4807.0;4945.0;4871.0;4488.0;5283.0;4552.0;5341.0;5212.0;4924.0
10689.0;5205.0;5018.0;4783.0;5716.0;4700.0;6334.0;5750.0;4863.0;4781.0;4869.0;4967.0;4931.0;4577.0;5463.0;4620.0;5581.0;5256.0;4947.0
11026.0;5326.0;5043.0;4804.0;5790.0;4737.0;6464.0;5847.0;4941.0;4859.0;4910.0;5083.0;5021.0;4622.0;5585.0;4675.0;5640.0;5277.0;4999.0
11056.0;5416.0;5409.0;4953.0;5882.0;4837.0;6496.0;5892.0;4980.0;5002.0;5000.0;5139.0;5049.0;4656.0;5718.0;4760.0;5679.0;5302.0;5052.0
11116.0;5488.0;5499.0;5002.0;5970.0;4864.0;6611.0;5975.0;5111.0;5040.0;5059.0;5187.0;5281.0;4693.0;5821.0;4879.0;5733.0;5383.0;5080.0
11177.0;5552.0;5542.0;5189.0;6028.0;4929.0;6702.0;6109.0;5171.0;5130.0;5135.0;5318.0;5314.0;4782.0;5843.0;5069.0;5765.0;5490.0;5138.0
11403.0;5589.0;5601.0;5326.0;6053.0;4986.0;6882.0;6130.0;5237.0;5183.0;5182.0;5423.0;5335.0;5128.0;5875.0;5106.0;5864.0;5590.0;5307.0
11593.0;5663.0;5798.0;5532.0;6204.0;5165.0;6970.0;6200.0;5262.0;5204.0;5255.0;5573.0;5393.0;5337.0;6026.0;5157.0;6049.0;5645.0;5337.0
11618.0;5769.0;5841.0;5667.0;6225.0;5196.0;7171.0;6254.0;5363.0;5316.0;5281.0;5627.0;5451.0;5375.0;6152.0;5187.0;6189.0;5793.0;5391.0
12108.0;5810.0;5887.0;5743.0;6245.0;5226.0;7227.0;6340.0;5403.0;5350.0;5317.0;5660.0;5506.0;5400.0;6414.0;5386.0;6256.0;5910.0;5474.0
12396.0;5880.0;5939.0;5849.0;6293.0;5423.0;7255.0;6478.0;5433.0;5398.0;5364.0;5756.0;5682.0;5456.0;6461.0;5463.0;6365.0;5970.0;5523.0
12423.0;6006.0;6056.0;5878.0;6380.0;5503.0;7456.0;6568.0;5469.0;5455.0;5385.0;5821.0;5718.0;5484.0;6501.0;5485.0;6462.0;6082.0;5558.0
12565.0;6035.0;6099.0;5905.0;6405.0;5539.0;7531.0;6637.0;5592.0;5510.0;5542.0;5931.0;5753.0;5525.0;6525.0;5634.0;6508.0;6114.0;5587.0
12620.0;6082.0;6137.0;6012.0;6453.0;5565.0;7632.0;6661.0;5637.0;5559.0;5647.0;6014.0;5795.0;5552.0;6595.0;5666.0;6548.0;6179.0;5648.0
